ID,Date,Kilowatt
0,2021-01-01 00:00:00 -> 2021-01-31 23:55:00,3236.96
1,2021-02-01 00:00:00 -> 2021-02-28 23:55:00,3264.00
2,2021-03-01 00:00:00 -> 2021-03-31 23:55:00,3536.00
3,2021-04-01 00:00:00 -> 2021-04-30 23:55:00,3684.59
4,2021-05-01 00:00:00 -> 2021-05-31 23:55:00,4461.00
5,2021-06-01 00:00:00 -> 2021-06-30 23:55:00,4402.28
6,2021-07-01 00:00:00 -> 2021-07-31 23:55:00,4881.00
7,2021-08-01 00:00:00 -> 2021-08-31 23:55:00,5049.41
8,2021-09-01 00:00:00 -> 2021-09-30 23:55:00,4783.31
9,2021-10-01 00:00:00 -> 2021-10-31 23:55:00,5032.13
10,2021-11-01 00:00:00 -> 2021-11-30 23:55:00,4897.59
11,2021-12-01 00:00:00 -> 2021-12-31 23:55:00,5065.46
12,2022-01-01 00:00:00 -> 2022-01-31 23:55:00,5037.00
13,2022-02-01 00:00:00 -> 2022-02-28 23:55:00,4523.63
14,2022-03-01 00:00:00 -> 2022-03-31 23:55:00,4921.66
15,2022-04-01 00:00:00 -> 2022-04-30 23:55:00,4819.90
16,2022-05-01 00:00:00 -> 2022-05-31 23:55:00,4968.00
17,2022-06-01 00:00:00 -> 2022-06-30 23:55:00,4968.45
18,2022-07-01 00:00:00 -> 2022-07-31 23:55:00,5416.13
19,2022-08-01 00:00:00 -> 2022-08-31 23:55:00,5274.87
20,2022-09-01 00:00:00 -> 2022-09-30 23:55:00,4863.90
21,2022-10-01 00:00:00 -> 2022-10-31 23:55:00,4914.00
22,2022-11-01 00:00:00 -> 2022-11-30 23:55:00,4675.90
23,2022-12-01 00:00:00 -> 2022-12-31 23:55:00,4838.42
24,2023-01-01 00:00:00 -> 2023-01-31 23:55:00,4794.22
25,2023-02-01 00:00:00 -> 2023-02-28 23:55:00,4324.99
26,2023-03-01 00:00:00 -> 2023-03-31 23:55:00,4584.00
27,2023-04-01 00:00:00 -> 2023-04-30 23:55:00,4456.10
28,2023-05-01 00:00:00 -> 2023-05-31 23:55:00,4563.20
29,2023-06-01 00:00:00 -> 2023-06-30 23:55:00,4494.77
30,2023-07-01 00:00:00 -> 2023-07-31 23:55:00,4849.21
31,2023-08-01 00:00:00 -> 2023-08-31 23:55:00,4967.37
32,2023-09-01 00:00:00 -> 2023-09-30 23:55:00,4811.45
33,2023-10-01 00:00:00 -> 2023-10-31 23:55:00,5121.29
