ID,Date,Consumption
0,2021-01-01 00:00:00 -> 2021-01-01 23:55:00,149.13
1,2021-01-02 00:00:00 -> 2021-01-02 23:55:00,144.00
2,2021-01-03 00:00:00 -> 2021-01-03 23:55:00,145.00
3,2021-01-04 00:00:00 -> 2021-01-04 23:55:00,291.13
4,2021-01-05 00:00:00 -> 2021-01-05 23:55:00,271.98
5,2021-01-06 00:00:00 -> 2021-01-06 23:55:00,149.00
6,2021-01-07 00:00:00 -> 2021-01-07 23:55:00,310.00
7,2021-01-08 00:00:00 -> 2021-01-08 23:55:00,274.85
8,2021-01-09 00:00:00 -> 2021-01-09 23:55:00,145.85
9,2021-01-10 00:00:00 -> 2021-01-10 23:55:00,145.85
10,2021-01-11 00:00:00 -> 2021-01-11 23:55:00,327.00
11,2021-01-12 00:00:00 -> 2021-01-12 23:55:00,273.15
12,2021-01-13 00:00:00 -> 2021-01-13 23:55:00,264.00
13,2021-01-14 00:00:00 -> 2021-01-14 23:55:00,258.00
14,2021-01-15 00:00:00 -> 2021-01-15 23:55:00,265.16
15,2021-01-16 00:00:00 -> 2021-01-16 23:55:00,146.00
16,2021-01-17 00:00:00 -> 2021-01-17 23:55:00,146.84
17,2021-01-18 00:00:00 -> 2021-01-18 23:55:00,285.84
18,2021-01-19 00:00:00 -> 2021-01-19 23:55:00,292.84
19,2021-01-20 00:00:00 -> 2021-01-20 23:55:00,268.00
20,2021-01-21 00:00:00 -> 2021-01-21 23:55:00,262.16
21,2021-01-22 00:00:00 -> 2021-01-22 23:55:00,263.00
22,2021-01-23 00:00:00 -> 2021-01-23 23:55:00,147.84
23,2021-01-24 00:00:00 -> 2021-01-24 23:55:00,148.83
24,2021-01-25 00:00:00 -> 2021-01-25 23:55:00,289.00
25,2021-01-26 00:00:00 -> 2021-01-26 23:55:00,265.17
26,2021-01-27 00:00:00 -> 2021-01-27 23:55:00,278.00
27,2021-01-28 00:00:00 -> 2021-01-28 23:55:00,273.83
28,2021-01-29 00:00:00 -> 2021-01-29 23:55:00,278.17
29,2021-01-30 00:00:00 -> 2021-01-30 23:55:00,147.00
30,2021-01-31 00:00:00 -> 2021-01-31 23:55:00,145.83
31,2021-02-01 00:00:00 -> 2021-02-01 23:55:00,243.83
32,2021-02-02 00:00:00 -> 2021-02-02 23:55:00,245.00
33,2021-02-03 00:00:00 -> 2021-02-03 23:55:00,258.17
34,2021-02-04 00:00:00 -> 2021-02-04 23:55:00,229.17
35,2021-02-05 00:00:00 -> 2021-02-05 23:55:00,240.17
36,2021-02-06 00:00:00 -> 2021-02-06 23:55:00,168.00
37,2021-02-07 00:00:00 -> 2021-02-07 23:55:00,166.82
38,2021-02-08 00:00:00 -> 2021-02-08 23:55:00,265.00
39,2021-02-09 00:00:00 -> 2021-02-09 23:55:00,240.18
40,2021-02-10 00:00:00 -> 2021-02-10 23:55:00,246.00
41,2021-02-11 00:00:00 -> 2021-02-11 23:55:00,247.33
42,2021-02-12 00:00:00 -> 2021-02-12 23:55:00,247.33
43,2021-02-13 00:00:00 -> 2021-02-13 23:55:00,197.33
44,2021-02-14 00:00:00 -> 2021-02-14 23:55:00,157.32
45,2021-02-15 00:00:00 -> 2021-02-15 23:55:00,282.32
46,2021-02-16 00:00:00 -> 2021-02-16 23:55:00,286.00
47,2021-02-17 00:00:00 -> 2021-02-17 23:55:00,274.00
48,2021-02-18 00:00:00 -> 2021-02-18 23:55:00,231.00
49,2021-02-19 00:00:00 -> 2021-02-19 23:55:00,238.00
50,2021-02-20 00:00:00 -> 2021-02-20 23:55:00,174.32
51,2021-02-21 00:00:00 -> 2021-02-21 23:55:00,186.32
52,2021-02-22 00:00:00 -> 2021-02-22 23:55:00,216.00
53,2021-02-23 00:00:00 -> 2021-02-23 23:55:00,216.32
54,2021-02-24 00:00:00 -> 2021-02-24 23:55:00,217.00
55,2021-02-25 00:00:00 -> 2021-02-25 23:55:00,210.00
56,2021-02-26 00:00:00 -> 2021-02-26 23:55:00,213.32
57,2021-02-27 00:00:00 -> 2021-02-27 23:55:00,158.32
58,2021-02-28 00:00:00 -> 2021-02-28 23:55:00,157.32
59,2021-03-01 00:00:00 -> 2021-03-01 23:55:00,230.00
60,2021-03-02 00:00:00 -> 2021-03-02 23:55:00,236.00
61,2021-03-03 00:00:00 -> 2021-03-03 23:55:00,232.32
62,2021-03-04 00:00:00 -> 2021-03-04 23:55:00,212.31
63,2021-03-05 00:00:00 -> 2021-03-05 23:55:00,246.00
64,2021-03-06 00:00:00 -> 2021-03-06 23:55:00,174.00
65,2021-03-07 00:00:00 -> 2021-03-07 23:55:00,180.00
66,2021-03-08 00:00:00 -> 2021-03-08 23:55:00,273.69
67,2021-03-09 00:00:00 -> 2021-03-09 23:55:00,270.00
68,2021-03-10 00:00:00 -> 2021-03-10 23:55:00,244.31
69,2021-03-11 00:00:00 -> 2021-03-11 23:55:00,254.31
70,2021-03-12 00:00:00 -> 2021-03-12 23:55:00,234.00
71,2021-03-13 00:00:00 -> 2021-03-13 23:55:00,165.31
72,2021-03-14 00:00:00 -> 2021-03-14 23:55:00,167.00
73,2021-03-15 00:00:00 -> 2021-03-15 23:55:00,245.06
74,2021-03-16 00:00:00 -> 2021-03-16 23:55:00,231.37
75,2021-03-17 00:00:00 -> 2021-03-17 23:55:00,248.00
76,2021-03-18 00:00:00 -> 2021-03-18 23:55:00,245.37
77,2021-03-19 00:00:00 -> 2021-03-19 23:55:00,254.37
78,2021-03-20 00:00:00 -> 2021-03-20 23:55:00,154.00
79,2021-03-21 00:00:00 -> 2021-03-21 23:55:00,155.37
80,2021-03-22 00:00:00 -> 2021-03-22 23:55:00,239.00
81,2021-03-23 00:00:00 -> 2021-03-23 23:55:00,227.63
82,2021-03-24 00:00:00 -> 2021-03-24 23:55:00,238.63
83,2021-03-25 00:00:00 -> 2021-03-25 23:55:00,224.00
84,2021-03-26 00:00:00 -> 2021-03-26 23:55:00,207.00
85,2021-03-27 00:00:00 -> 2021-03-27 23:55:00,167.00
86,2021-03-28 00:00:00 -> 2021-03-28 23:55:00,162.43
87,2021-03-29 00:00:00 -> 2021-03-29 23:55:00,227.00
88,2021-03-30 00:00:00 -> 2021-03-30 23:55:00,199.00
89,2021-03-31 00:00:00 -> 2021-03-31 23:55:00,190.42
90,2021-04-01 00:00:00 -> 2021-04-01 23:55:00,184.42
91,2021-04-02 00:00:00 -> 2021-04-02 23:55:00,181.42
92,2021-04-03 00:00:00 -> 2021-04-03 23:55:00,150.00
93,2021-04-04 00:00:00 -> 2021-04-04 23:55:00,149.42
94,2021-04-05 00:00:00 -> 2021-04-05 23:55:00,154.00
95,2021-04-06 00:00:00 -> 2021-04-06 23:55:00,217.00
96,2021-04-07 00:00:00 -> 2021-04-07 23:55:00,218.42
97,2021-04-08 00:00:00 -> 2021-04-08 23:55:00,229.42
98,2021-04-09 00:00:00 -> 2021-04-09 23:55:00,228.00
99,2021-04-10 00:00:00 -> 2021-04-10 23:55:00,210.42
100,2021-04-11 00:00:00 -> 2021-04-11 23:55:00,228.00
101,2021-04-12 00:00:00 -> 2021-04-12 23:55:00,248.58
102,2021-04-13 00:00:00 -> 2021-04-13 23:55:00,212.00
103,2021-04-14 00:00:00 -> 2021-04-14 23:55:00,209.42
104,2021-04-15 00:00:00 -> 2021-04-15 23:55:00,207.58
105,2021-04-16 00:00:00 -> 2021-04-16 23:55:00,212.58
106,2021-04-17 00:00:00 -> 2021-04-17 23:55:00,151.58
107,2021-04-18 00:00:00 -> 2021-04-18 23:55:00,149.00
108,2021-04-19 00:00:00 -> 2021-04-19 23:55:00,235.42
109,2021-04-20 00:00:00 -> 2021-04-20 23:55:00,222.42
110,2021-04-21 00:00:00 -> 2021-04-21 23:55:00,207.00
111,2021-04-22 00:00:00 -> 2021-04-22 23:55:00,194.00
112,2021-04-23 00:00:00 -> 2021-04-23 23:55:00,182.00
113,2021-04-24 00:00:00 -> 2021-04-24 23:55:00,145.13
114,2021-04-25 00:00:00 -> 2021-04-25 23:55:00,145.00
115,2021-04-26 00:00:00 -> 2021-04-26 23:55:00,175.86
116,2021-04-27 00:00:00 -> 2021-04-27 23:55:00,171.86
117,2021-04-28 00:00:00 -> 2021-04-28 23:55:00,178.00
118,2021-04-29 00:00:00 -> 2021-04-29 23:55:00,184.17
119,2021-04-30 00:00:00 -> 2021-04-30 23:55:00,165.00
120,2021-05-01 00:00:00 -> 2021-05-01 23:55:00,147.97
121,2021-05-02 00:00:00 -> 2021-05-02 23:55:00,148.97
122,2021-05-03 00:00:00 -> 2021-05-03 23:55:00,177.97
123,2021-05-04 00:00:00 -> 2021-05-04 23:55:00,155.00
124,2021-05-05 00:00:00 -> 2021-05-05 23:55:00,176.03
125,2021-05-06 00:00:00 -> 2021-05-06 23:55:00,169.03
126,2021-05-07 00:00:00 -> 2021-05-07 23:55:00,167.00
127,2021-05-08 00:00:00 -> 2021-05-08 23:55:00,147.00
128,2021-05-09 00:00:00 -> 2021-05-09 23:55:00,147.00
129,2021-05-10 00:00:00 -> 2021-05-10 23:55:00,181.02
130,2021-05-11 00:00:00 -> 2021-05-11 23:55:00,179.00
131,2021-05-12 00:00:00 -> 2021-05-12 23:55:00,175.00
132,2021-05-13 00:00:00 -> 2021-05-13 23:55:00,173.62
133,2021-05-14 00:00:00 -> 2021-05-14 23:55:00,169.64
134,2021-05-15 00:00:00 -> 2021-05-15 23:55:00,147.00
135,2021-05-16 00:00:00 -> 2021-05-16 23:55:00,147.36
136,2021-05-17 00:00:00 -> 2021-05-17 23:55:00,181.36
137,2021-05-18 00:00:00 -> 2021-05-18 23:55:00,179.36
138,2021-05-19 00:00:00 -> 2021-05-19 23:55:00,189.36
139,2021-05-20 00:00:00 -> 2021-05-20 23:55:00,175.36
140,2021-05-21 00:00:00 -> 2021-05-21 23:55:00,141.36
141,2021-05-22 00:00:00 -> 2021-05-22 23:55:00,143.28
142,2021-05-23 00:00:00 -> 2021-05-23 23:55:00,128.28
143,2021-05-24 00:00:00 -> 2021-05-24 23:55:00,128.28
144,2021-05-25 00:00:00 -> 2021-05-25 23:55:00,122.28
145,2021-05-26 00:00:00 -> 2021-05-26 23:55:00,121.00
146,2021-05-27 00:00:00 -> 2021-05-27 23:55:00,117.89
147,2021-05-28 00:00:00 -> 2021-05-28 23:55:00,107.00
148,2021-05-29 00:00:00 -> 2021-05-29 23:55:00,137.11
149,2021-05-30 00:00:00 -> 2021-05-30 23:55:00,127.89
150,2021-05-31 00:00:00 -> 2021-05-31 23:55:00,116.25
151,2021-06-01 00:00:00 -> 2021-06-01 23:55:00,117.98
152,2021-06-02 00:00:00 -> 2021-06-02 23:55:00,111.68
153,2021-06-03 00:00:00 -> 2021-06-03 23:55:00,108.68
154,2021-06-04 00:00:00 -> 2021-06-04 23:55:00,114.00
155,2021-06-05 00:00:00 -> 2021-06-05 23:55:00,107.33
156,2021-06-06 00:00:00 -> 2021-06-06 23:55:00,119.33
157,2021-06-07 00:00:00 -> 2021-06-07 23:55:00,113.00
158,2021-06-08 00:00:00 -> 2021-06-08 23:55:00,135.67
159,2021-06-09 00:00:00 -> 2021-06-09 23:55:00,138.67
160,2021-06-10 00:00:00 -> 2021-06-10 23:55:00,132.33
161,2021-06-11 00:00:00 -> 2021-06-11 23:55:00,116.33
162,2021-06-12 00:00:00 -> 2021-06-12 23:55:00,140.33
163,2021-06-13 00:00:00 -> 2021-06-13 23:55:00,132.99
164,2021-06-14 00:00:00 -> 2021-06-14 23:55:00,140.66
165,2021-06-15 00:00:00 -> 2021-06-15 23:55:00,102.34
166,2021-06-16 00:00:00 -> 2021-06-16 23:55:00,164.00
167,2021-06-17 00:00:00 -> 2021-06-17 23:55:00,111.00
168,2021-06-18 00:00:00 -> 2021-06-18 23:55:00,129.82
169,2021-06-19 00:00:00 -> 2021-06-19 23:55:00,115.82
170,2021-06-20 00:00:00 -> 2021-06-20 23:55:00,107.00
171,2021-06-21 00:00:00 -> 2021-06-21 23:55:00,177.00
172,2021-06-22 00:00:00 -> 2021-06-22 23:55:00,200.00
173,2021-06-23 00:00:00 -> 2021-06-23 23:55:00,165.18
174,2021-06-24 00:00:00 -> 2021-06-24 23:55:00,172.00
175,2021-06-25 00:00:00 -> 2021-06-25 23:55:00,112.82
176,2021-06-26 00:00:00 -> 2021-06-26 23:55:00,131.00
177,2021-06-27 00:00:00 -> 2021-06-27 23:55:00,128.82
178,2021-06-28 00:00:00 -> 2021-06-28 23:55:00,104.00
179,2021-06-29 00:00:00 -> 2021-06-29 23:55:00,116.83
180,2021-06-30 00:00:00 -> 2021-06-30 23:55:00,181.83
181,2021-07-01 00:00:00 -> 2021-07-01 23:55:00,181.00
182,2021-07-02 00:00:00 -> 2021-07-02 23:55:00,129.17
183,2021-07-03 00:00:00 -> 2021-07-03 23:55:00,128.17
184,2021-07-04 00:00:00 -> 2021-07-04 23:55:00,108.17
185,2021-07-05 00:00:00 -> 2021-07-05 23:55:00,141.00
186,2021-07-06 00:00:00 -> 2021-07-06 23:55:00,159.94
187,2021-07-07 00:00:00 -> 2021-07-07 23:55:00,164.11
188,2021-07-08 00:00:00 -> 2021-07-08 23:55:00,192.00
189,2021-07-09 00:00:00 -> 2021-07-09 23:55:00,177.00
190,2021-07-10 00:00:00 -> 2021-07-10 23:55:00,126.11
191,2021-07-11 00:00:00 -> 2021-07-11 23:55:00,130.35
