ID,Date,Kilowatt
0,2021-01-01 00:00:00 -> 2021-01-31 23:55:00,7066.96
1,2021-02-01 00:00:00 -> 2021-02-28 23:55:00,6229.32
2,2021-03-01 00:00:00 -> 2021-03-31 23:55:00,6753.42
3,2021-04-01 00:00:00 -> 2021-04-30 23:55:00,5765.00
4,2021-05-01 00:00:00 -> 2021-05-31 23:55:00,4742.97
5,2021-06-01 00:00:00 -> 2021-06-30 23:55:00,3963.30
6,2021-07-01 00:00:00 -> 2021-07-31 23:55:00,4791.83
7,2021-08-01 00:00:00 -> 2021-08-31 23:55:00,4164.47
8,2021-09-01 00:00:00 -> 2021-09-30 23:55:00,4500.33
9,2021-10-01 00:00:00 -> 2021-10-31 23:55:00,4420.00
10,2021-11-01 00:00:00 -> 2021-11-30 23:55:00,5658.55
11,2021-12-01 00:00:00 -> 2021-12-31 23:55:00,6758.46
12,2022-01-01 00:00:00 -> 2022-01-31 23:55:00,6288.98
13,2022-02-01 00:00:00 -> 2022-02-28 23:55:00,5152.56
14,2022-03-01 00:00:00 -> 2022-03-31 23:55:00,5079.61
15,2022-04-01 00:00:00 -> 2022-04-30 23:55:00,4289.89
16,2022-05-01 00:00:00 -> 2022-05-31 23:55:00,4094.00
17,2022-06-01 00:00:00 -> 2022-06-30 23:55:00,5592.44
18,2022-07-01 00:00:00 -> 2022-07-31 23:55:00,6801.71
19,2022-08-01 00:00:00 -> 2022-08-31 23:55:00,5198.95
20,2022-09-01 00:00:00 -> 2022-09-30 23:55:00,5776.92
21,2022-10-01 00:00:00 -> 2022-10-31 23:55:00,5099.99
22,2022-11-01 00:00:00 -> 2022-11-30 23:55:00,6910.74
23,2022-12-01 00:00:00 -> 2022-12-31 23:55:00,9456.20
24,2023-01-01 00:00:00 -> 2023-01-31 23:55:00,8353.95
25,2023-02-01 00:00:00 -> 2023-02-28 23:55:00,6384.62
26,2023-03-01 00:00:00 -> 2023-03-31 23:55:00,5101.52
27,2023-04-01 00:00:00 -> 2023-04-30 23:55:00,4182.00
28,2023-05-01 00:00:00 -> 2023-05-31 23:55:00,4100.95
29,2023-06-01 00:00:00 -> 2023-06-30 23:55:00,4491.77
30,2023-07-01 00:00:00 -> 2023-07-31 23:55:00,6969.44
31,2023-08-01 00:00:00 -> 2023-08-31 23:55:00,4601.60
32,2023-09-01 00:00:00 -> 2023-09-30 23:55:00,5994.65
33,2023-10-01 00:00:00 -> 2023-10-31 23:55:00,6091.31
