ID,Date,Consumption
0,2021-05-21 11:05:00 -> 2021-05-21 23:55:00,113.62
1,2021-05-22 00:00:00 -> 2021-05-22 23:55:00,159.00
2,2021-05-23 00:00:00 -> 2021-05-23 23:55:00,118.00
3,2021-05-24 00:00:00 -> 2021-05-24 23:55:00,116.00
4,2021-05-25 00:00:00 -> 2021-05-25 23:55:00,159.00
5,2021-05-26 00:00:00 -> 2021-05-26 23:55:00,167.00
6,2021-05-27 00:00:00 -> 2021-05-27 23:55:00,166.00
7,2021-05-28 00:00:00 -> 2021-05-28 23:55:00,160.00
8,2021-05-29 00:00:00 -> 2021-05-29 23:55:00,161.00
9,2021-05-30 00:00:00 -> 2021-05-30 23:55:00,119.00
10,2021-05-31 00:00:00 -> 2021-05-31 23:55:00,161.00
11,2021-06-01 00:00:00 -> 2021-06-01 23:55:00,166.00
12,2021-06-02 00:00:00 -> 2021-06-02 23:55:00,127.00
13,2021-06-03 00:00:00 -> 2021-06-03 23:55:00,164.00
14,2021-06-04 00:00:00 -> 2021-06-04 23:55:00,163.00
15,2021-06-05 00:00:00 -> 2021-06-05 23:55:00,75.00
16,2021-06-06 00:00:00 -> 2021-06-06 23:55:00,87.00
17,2021-06-07 00:00:00 -> 2021-06-07 23:55:00,159.00
18,2021-06-08 00:00:00 -> 2021-06-08 23:55:00,74.00
19,2021-06-09 00:00:00 -> 2021-06-09 23:55:00,123.00
20,2021-06-10 00:00:00 -> 2021-06-10 23:55:00,125.00
21,2021-06-11 00:00:00 -> 2021-06-11 23:55:00,158.00
22,2021-06-12 00:00:00 -> 2021-06-12 23:55:00,167.00
23,2021-06-13 00:00:00 -> 2021-06-13 23:55:00,161.00
24,2021-06-14 00:00:00 -> 2021-06-14 23:55:00,146.00
25,2021-06-15 00:00:00 -> 2021-06-15 23:55:00,168.00
26,2021-06-16 00:00:00 -> 2021-06-16 23:55:00,128.00
27,2021-06-17 00:00:00 -> 2021-06-17 23:55:00,162.00
28,2021-06-18 00:00:00 -> 2021-06-18 23:55:00,133.00
29,2021-06-19 00:00:00 -> 2021-06-19 23:55:00,134.00
30,2021-06-20 00:00:00 -> 2021-06-20 23:55:00,111.00
31,2021-06-21 00:00:00 -> 2021-06-21 23:55:00,116.00
32,2021-06-22 00:00:00 -> 2021-06-22 23:55:00,149.00
33,2021-06-23 00:00:00 -> 2021-06-23 23:55:00,121.00
34,2021-06-24 00:00:00 -> 2021-06-24 23:55:00,100.00
35,2021-06-25 00:00:00 -> 2021-06-25 23:55:00,141.00
36,2021-06-26 00:00:00 -> 2021-06-26 23:55:00,157.00
37,2021-06-27 00:00:00 -> 2021-06-27 23:55:00,152.00
38,2021-06-28 00:00:00 -> 2021-06-28 23:55:00,145.00
39,2021-06-29 00:00:00 -> 2021-06-29 23:55:00,131.00
40,2021-06-30 00:00:00 -> 2021-06-30 23:55:00,154.00
41,2021-07-01 00:00:00 -> 2021-07-01 23:55:00,148.00
42,2021-07-02 00:00:00 -> 2021-07-02 23:55:00,144.00
43,2021-07-03 00:00:00 -> 2021-07-03 23:55:00,149.00
44,2021-07-04 00:00:00 -> 2021-07-04 23:55:00,124.00
45,2021-07-05 00:00:00 -> 2021-07-05 23:55:00,152.00
46,2021-07-06 00:00:00 -> 2021-07-06 23:55:00,148.00
47,2021-07-07 00:00:00 -> 2021-07-07 23:55:00,142.00
48,2021-07-08 00:00:00 -> 2021-07-08 23:55:00,99.00
49,2021-07-09 00:00:00 -> 2021-07-09 23:55:00,126.00
50,2021-07-10 00:00:00 -> 2021-07-10 23:55:00,141.93
51,2021-07-11 00:00:00 -> 2021-07-11 23:55:00,147.48
52,2021-07-12 00:00:00 -> 2021-07-12 23:55:00,136.00
53,2021-07-13 00:00:00 -> 2021-07-13 23:55:00,75.00
54,2021-07-14 00:00:00 -> 2021-07-14 23:55:00,122.00
55,2021-07-15 00:00:00 -> 2021-07-15 23:55:00,134.00
56,2021-07-16 00:00:00 -> 2021-07-16 23:55:00,91.00
57,2021-07-17 00:00:00 -> 2021-07-17 23:55:00,84.00
58,2021-07-18 00:00:00 -> 2021-07-18 23:55:00,111.00
59,2021-07-19 00:00:00 -> 2021-07-19 23:55:00,110.00
60,2021-07-20 00:00:00 -> 2021-07-20 23:55:00,135.00
61,2021-07-21 00:00:00 -> 2021-07-21 23:55:00,135.00
62,2021-07-22 00:00:00 -> 2021-07-22 23:55:00,148.00
63,2021-07-23 00:00:00 -> 2021-07-23 23:55:00,149.00
64,2021-07-24 00:00:00 -> 2021-07-24 23:55:00,138.00
65,2021-07-25 00:00:00 -> 2021-07-25 23:55:00,74.00
66,2021-07-26 00:00:00 -> 2021-07-26 23:55:00,77.00
67,2021-07-27 00:00:00 -> 2021-07-27 23:55:00,116.00
68,2021-07-28 00:00:00 -> 2021-07-28 23:55:00,142.00
69,2021-07-29 00:00:00 -> 2021-07-29 23:55:00,142.00
70,2021-07-30 00:00:00 -> 2021-07-30 23:55:00,141.00
71,2021-07-31 00:00:00 -> 2021-07-31 23:55:00,141.00
72,2021-08-01 00:00:00 -> 2021-08-01 23:55:00,128.00
73,2021-08-02 00:00:00 -> 2021-08-02 23:55:00,138.00
74,2021-08-03 00:00:00 -> 2021-08-03 23:55:00,131.00
75,2021-08-04 00:00:00 -> 2021-08-04 23:55:00,121.00
76,2021-08-05 00:00:00 -> 2021-08-05 23:55:00,118.00
77,2021-08-06 00:00:00 -> 2021-08-06 23:55:00,142.00
78,2021-08-07 00:00:00 -> 2021-08-07 23:55:00,140.00
79,2021-08-08 00:00:00 -> 2021-08-08 23:55:00,123.00
80,2021-08-09 00:00:00 -> 2021-08-09 23:55:00,99.00
81,2021-08-10 00:00:00 -> 2021-08-10 23:55:00,98.00
82,2021-08-11 00:00:00 -> 2021-08-11 23:55:00,108.00
83,2021-08-12 00:00:00 -> 2021-08-12 23:55:00,126.00
84,2021-08-13 00:00:00 -> 2021-08-13 23:55:00,119.00
85,2021-08-14 00:00:00 -> 2021-08-14 23:55:00,120.00
86,2021-08-15 00:00:00 -> 2021-08-15 23:55:00,121.00
87,2021-08-16 00:00:00 -> 2021-08-16 23:55:00,114.00
88,2021-08-17 00:00:00 -> 2021-08-17 23:55:00,119.02
89,2021-08-18 00:00:00 -> 2021-08-18 23:55:00,105.97
90,2021-08-19 00:00:00 -> 2021-08-19 23:55:00,108.00
91,2021-08-20 00:00:00 -> 2021-08-20 23:55:00,130.00
92,2021-08-21 00:00:00 -> 2021-08-21 23:55:00,128.00
93,2021-08-22 00:00:00 -> 2021-08-22 23:55:00,123.00
94,2021-08-23 00:00:00 -> 2021-08-23 23:55:00,88.00
95,2021-08-24 00:00:00 -> 2021-08-24 23:55:00,79.00
96,2021-08-25 00:00:00 -> 2021-08-25 23:55:00,108.00
97,2021-08-26 00:00:00 -> 2021-08-26 23:55:00,129.00
98,2021-08-27 00:00:00 -> 2021-08-27 23:55:00,115.00
99,2021-08-28 00:00:00 -> 2021-08-28 23:55:00,98.00
100,2021-08-29 00:00:00 -> 2021-08-29 23:55:00,137.00
101,2021-08-30 00:00:00 -> 2021-08-30 23:55:00,129.00
102,2021-08-31 00:00:00 -> 2021-08-31 23:55:00,120.00
103,2021-09-01 00:00:00 -> 2021-09-01 23:55:00,128.00
104,2021-09-02 00:00:00 -> 2021-09-02 23:55:00,122.00
105,2021-09-03 00:00:00 -> 2021-09-03 23:55:00,87.00
106,2021-09-04 00:00:00 -> 2021-09-04 23:55:00,111.00
107,2021-09-05 00:00:00 -> 2021-09-05 23:55:00,116.00
108,2021-09-06 00:00:00 -> 2021-09-06 23:55:00,119.00
109,2021-09-07 00:00:00 -> 2021-09-07 23:55:00,111.00
110,2021-09-08 00:00:00 -> 2021-09-08 23:55:00,109.00
111,2021-09-09 00:00:00 -> 2021-09-09 23:55:00,111.00
112,2021-09-10 00:00:00 -> 2021-09-10 23:55:00,82.00
113,2021-09-11 00:00:00 -> 2021-09-11 23:55:00,101.00
114,2021-09-12 00:00:00 -> 2021-09-12 23:55:00,113.00
115,2021-09-13 00:00:00 -> 2021-09-13 23:55:00,112.00
116,2021-09-14 00:00:00 -> 2021-09-14 23:55:00,94.00
117,2021-09-15 00:00:00 -> 2021-09-15 23:55:00,86.00
118,2021-09-16 00:00:00 -> 2021-09-16 23:55:00,79.00
119,2021-09-17 00:00:00 -> 2021-09-17 23:55:00,51.00
120,2021-09-18 00:00:00 -> 2021-09-18 23:55:00,97.00
121,2021-09-19 00:00:00 -> 2021-09-19 23:55:00,95.00
122,2021-09-20 00:00:00 -> 2021-09-20 23:55:00,94.00
123,2021-09-21 00:00:00 -> 2021-09-21 23:55:00,95.00
124,2021-09-22 00:00:00 -> 2021-09-22 23:55:00,102.00
