ID,Date,Kilowatt_Consumed
0,2021-05-21 11:00 -> 12:00,8.719999999999999
1,2021-05-21 12:00 -> 13:00,16.340000000000003
2,2021-05-21 13:00 -> 14:00,18.39
3,2021-05-21 14:00 -> 15:00,17.11
4,2021-05-21 15:00 -> 16:00,16.0
5,2021-05-21 16:00 -> 17:00,12.0
6,2021-05-21 17:00 -> 18:00,10.0
7,2021-05-21 18:00 -> 19:00,5.0
8,2021-05-21 19:00 -> 20:00,2.0
9,2021-05-21 20:00 -> 21:00,0.0
10,2021-05-21 21:00 -> 22:00,0.0
11,2021-05-21 22:00 -> 23:00,0.0
12,2021-05-21 23:00 -> 00:00,0.0
13,2021-05-22 00:00 -> 01:00,0.0
14,2021-05-22 01:00 -> 02:00,0.0
15,2021-05-22 02:00 -> 03:00,0.0
16,2021-05-22 03:00 -> 04:00,0.0
17,2021-05-22 04:00 -> 05:00,0.0
18,2021-05-22 05:00 -> 06:00,0.0
19,2021-05-22 06:00 -> 07:00,0.09999999999999432
20,2021-05-22 07:00 -> 08:00,4.099999999999994
21,2021-05-22 08:00 -> 09:00,8.099999999999994
22,2021-05-22 09:00 -> 10:00,12.0
23,2021-05-22 10:00 -> 11:00,15.0
24,2021-05-22 11:00 -> 12:00,16.889999999999986
25,2021-05-22 12:00 -> 13:00,17.889999999999986
26,2021-05-22 13:00 -> 14:00,17.99999999999997
27,2021-05-22 14:00 -> 15:00,17.0
28,2021-05-22 15:00 -> 16:00,15.890000000000043
29,2021-05-22 16:00 -> 17:00,9.0
30,2021-05-22 17:00 -> 18:00,6.899999999999977
31,2021-05-22 18:00 -> 19:00,4.0
32,2021-05-22 19:00 -> 20:00,2.0
33,2021-05-22 20:00 -> 21:00,0.0
34,2021-05-22 21:00 -> 22:00,0.0
35,2021-05-22 22:00 -> 23:00,0.0
36,2021-05-22 23:00 -> 00:00,0.0
37,2021-05-23 00:00 -> 01:00,0.0
38,2021-05-23 01:00 -> 02:00,0.0
39,2021-05-23 02:00 -> 03:00,0.0
40,2021-05-23 03:00 -> 04:00,0.0
41,2021-05-23 04:00 -> 05:00,0.0
42,2021-05-23 05:00 -> 06:00,0.0
43,2021-05-23 06:00 -> 07:00,1.0
44,2021-05-23 07:00 -> 08:00,2.1000000000000227
45,2021-05-23 08:00 -> 09:00,7.0
46,2021-05-23 09:00 -> 10:00,10.0
47,2021-05-23 10:00 -> 11:00,14.890000000000043
48,2021-05-23 11:00 -> 12:00,8.100000000000023
