,Date,00:00-09:00,09:00-18:00,18:00-00:00,day_of_the_week
0,2021-01-01,39.78,39.0,104.78,4
1,2021-01-02,39.78,38.21,104.78,5
2,2021-01-03,40.0,39.21,106.0,6
3,2021-01-04,39.79,38.21,104.79,0
4,2021-01-05,40.0,40.0,106.0,1
5,2021-01-06,39.8,38.2,104.0,2
6,2021-01-07,39.2,39.8,105.0,3
7,2021-01-08,40.0,38.8,104.8,4
8,2021-01-09,39.8,39.2,104.8,5
9,2021-01-10,39.8,39.2,104.8,6
10,2021-01-11,39.8,39.0,104.8,0
11,2021-01-12,39.8,38.0,103.8,1
12,2021-01-13,39.8,38.0,103.8,2
13,2021-01-14,39.8,38.2,104.0,3
14,2021-01-15,39.2,39.0,104.0,4
15,2021-01-16,39.8,38.2,104.8,5
16,2021-01-17,39.0,39.0,104.0,6
17,2021-01-18,39.0,37.2,102.2,0
18,2021-01-19,39.0,38.0,103.0,1
19,2021-01-20,39.8,38.2,103.8,2
20,2021-01-21,40.0,38.19,104.0,3
21,2021-01-22,39.0,38.18,103.0,4
22,2021-01-23,39.0,38.82,103.0,5
23,2021-01-24,39.0,39.0,104.0,6
24,2021-01-25,40.0,39.0,105.0,0
25,2021-01-26,40.18,38.82,105.0,1
26,2021-01-27,39.0,39.82,104.82,2
27,2021-01-28,39.82,39.0,104.0,3
28,2021-01-29,38.18,38.82,103.0,4
29,2021-01-30,40.0,38.0,103.18,5
30,2021-01-31,39.0,38.0,102.18,6
31,2021-02-01,39.0,41.18,110.0,0
32,2021-02-02,45.82,44.18,120.0,1
33,2021-02-03,45.0,45.18,120.18,2
34,2021-02-04,45.18,44.82,120.0,3
35,2021-02-05,46.0,44.82,120.82,4
36,2021-02-06,46.18,44.82,120.0,5
37,2021-02-07,45.0,45.0,120.0,6
38,2021-02-08,46.0,45.0,121.0,0
39,2021-02-09,45.18,44.82,120.0,1
40,2021-02-10,45.32,44.68,120.0,2
41,2021-02-11,46.0,45.0,121.0,3
42,2021-02-12,47.0,45.32,122.32,4
43,2021-02-13,46.32,43.0,118.0,5
44,2021-02-14,43.68,42.32,114.68,6
45,2021-02-15,43.0,42.68,114.0,0
46,2021-02-16,42.32,43.0,113.32,1
47,2021-02-17,43.68,42.32,114.0,2
48,2021-02-18,43.0,41.68,113.0,3
49,2021-02-19,43.68,41.32,113.0,4
50,2021-02-20,42.33,41.67,112.0,5
51,2021-02-21,43.67,41.33,113.0,6
52,2021-02-22,43.33,41.67,113.0,0
53,2021-02-23,42.67,42.0,113.0,1
54,2021-02-24,43.67,42.33,114.0,2
55,2021-02-25,43.33,42.0,113.33,3
56,2021-02-26,43.33,42.0,113.33,4
57,2021-02-27,43.0,42.34,113.34,5
58,2021-02-28,44.0,41.0,113.0,6
59,2021-03-01,44.0,42.0,114.0,0
60,2021-03-02,43.34,42.66,114.34,1
61,2021-03-03,44.0,42.0,114.66,2
62,2021-03-04,44.0,42.0,114.65,3
63,2021-03-05,43.65,42.35,114.0,4
64,2021-03-06,43.0,42.0,113.35,5
65,2021-03-07,43.65,42.35,114.65,6
66,2021-03-08,43.0,42.64,113.64,0
67,2021-03-09,43.0,43.0,114.0,1
68,2021-03-10,43.36,42.0,114.0,2
69,2021-03-11,43.0,42.64,114.0,3
70,2021-03-12,43.0,42.64,113.64,4
71,2021-03-13,42.64,42.0,112.64,5
72,2021-03-14,43.0,42.0,113.0,6
73,2021-03-15,43.36,42.0,113.36,0
74,2021-03-16,43.26,42.0,114.0,1
75,2021-03-17,43.0,42.0,113.74,2
76,2021-03-18,43.0,42.0,113.73,3
77,2021-03-19,43.0,41.73,112.73,4
78,2021-03-20,43.0,42.73,113.73,5
79,2021-03-21,43.73,41.27,113.73,6
80,2021-03-22,43.73,42.27,114.0,0
81,2021-03-23,44.27,42.73,115.27,1
82,2021-03-24,43.27,42.41,114.27,2
83,2021-03-25,44.0,42.41,115.0,3
84,2021-03-26,44.0,43.0,115.0,4
85,2021-03-27,43.59,42.41,114.0,5
86,2021-03-28,38.41,42.0,109.0,6
87,2021-03-29,44.0,42.41,114.41,0
88,2021-03-30,43.41,41.59,113.0,1
89,2021-03-31,43.0,41.0,111.59,2
90,2021-04-01,43.0,41.59,112.59,3
91,2021-04-02,43.0,41.59,112.59,4
92,2021-04-03,44.0,42.59,114.0,5
93,2021-04-04,43.0,41.41,112.41,6
94,2021-04-05,43.0,42.41,113.41,0
95,2021-04-06,43.41,42.59,114.0,1
96,2021-04-07,44.0,42.59,115.0,2
97,2021-04-08,44.41,42.59,115.41,3
98,2021-04-09,44.0,43.0,115.0,4
99,2021-04-10,44.59,42.0,114.59,5
100,2021-04-11,43.59,42.0,113.0,6
101,2021-04-12,43.41,42.59,115.0,0
102,2021-04-13,43.41,42.59,114.41,1
103,2021-04-14,44.0,42.41,114.41,2
104,2021-04-15,43.41,42.0,114.0,3
105,2021-04-16,44.59,42.0,114.59,4
106,2021-04-17,43.59,42.0,114.0,5
107,2021-04-18,43.41,42.59,114.41,6
108,2021-04-19,43.0,42.0,112.0,0
109,2021-04-20,41.59,40.41,108.59,1
110,2021-04-21,42.0,42.44,119.44,2
111,2021-04-22,54.0,53.0,142.0,3
112,2021-04-23,54.0,52.0,141.15,4
113,2021-04-24,54.85,52.0,141.85,5
114,2021-04-25,55.0,51.85,141.85,6
115,2021-04-26,54.0,53.0,142.0,0
116,2021-04-27,53.15,53.85,141.99,1
117,2021-04-28,53.0,55.0,143.0,2
118,2021-04-29,53.01,54.0,142.01,3
119,2021-04-30,54.0,53.0,142.0,4
120,2021-05-01,53.01,54.0,142.01,5
121,2021-05-02,53.01,54.0,143.0,6
122,2021-05-03,54.99,54.0,143.99,0
