,Date,00:00-09:00,09:00-18:00,18:00-00:00,day_of_the_week
0,2020-12-31,,,0.0,3
1,2021-01-01,56.0,55.87,38.0,4
2,2021-01-02,55.87,51.0,37.13,5
3,2021-01-03,56.0,51.0,38.0,6
4,2021-01-04,74.73,167.14,50.0,0
5,2021-01-05,69.85,159.13,42.15,1
6,2021-01-06,56.0,54.15,38.85,2
7,2021-01-07,73.71,194.14,42.15,3
8,2021-01-08,69.86,162.14,42.15,4
9,2021-01-09,56.15,51.85,37.15,5
10,2021-01-10,57.0,50.15,38.0,6
11,2021-01-11,78.0,205.0,44.0,0
12,2021-01-12,70.69,159.16,44.0,1
13,2021-01-13,70.54,151.31,42.15,2
14,2021-01-14,81.84,135.15,41.0,3
15,2021-01-15,77.85,143.15,44.0,4
16,2021-01-16,56.84,51.0,38.16,5
17,2021-01-17,56.16,52.0,38.0,6
18,2021-01-18,59.83,181.17,44.16,0
19,2021-01-19,76.67,171.33,44.16,1
20,2021-01-20,73.67,149.33,45.0,2
21,2021-01-21,75.83,134.17,52.0,3
22,2021-01-22,82.83,135.17,44.16,4
23,2021-01-23,57.16,51.84,38.16,5
24,2021-01-24,57.16,52.0,39.0,6
25,2021-01-25,74.67,168.33,46.0,0
26,2021-01-26,73.83,146.0,45.17,1
27,2021-01-27,74.66,157.17,45.34,2
28,2021-01-28,65.66,162.34,46.0,3
29,2021-01-29,67.65,168.18,43.0,4
30,2021-01-30,57.0,50.17,39.0,5
31,2021-01-31,56.0,51.0,38.17,6
32,2021-02-01,57.0,139.0,47.17,0
33,2021-02-02,82.82,114.18,48.0,1
34,2021-02-03,77.65,132.18,49.0,2
35,2021-02-04,74.82,107.18,47.0,3
36,2021-02-05,73.82,120.18,46.0,4
37,2021-02-06,65.0,58.17,44.0,5
38,2021-02-07,63.99,59.0,44.0,6
39,2021-02-08,81.82,134.0,50.0,0
40,2021-02-09,76.82,116.51,47.0,1
41,2021-02-10,69.33,126.0,50.67,2
42,2021-02-11,81.0,120.67,46.0,3
43,2021-02-12,85.0,115.0,47.67,4
44,2021-02-13,66.0,79.0,52.67,5
45,2021-02-14,60.99,55.0,41.68,6
46,2021-02-15,79.33,158.67,44.68,0
47,2021-02-16,73.33,167.67,45.0,1
48,2021-02-17,78.65,148.68,46.35,2
49,2021-02-18,79.33,107.67,44.0,3
50,2021-02-19,67.65,126.67,43.68,4
51,2021-02-20,62.0,67.0,45.68,5
52,2021-02-21,76.0,62.0,49.0,6
53,2021-02-22,84.0,90.0,41.68,0
54,2021-02-23,69.0,103.0,44.68,1
55,2021-02-24,71.0,102.0,44.0,2
56,2021-02-25,64.32,102.36,43.0,3
57,2021-02-26,73.32,96.68,43.68,4
58,2021-02-27,61.0,55.68,42.0,5
59,2021-02-28,61.0,54.68,42.0,6
60,2021-03-01,83.0,103.0,44.0,0
61,2021-03-02,79.64,110.68,45.68,1
62,2021-03-03,80.32,107.68,44.68,2
63,2021-03-04,64.0,103.68,45.0,3
64,2021-03-05,78.32,121.68,46.0,4
65,2021-03-06,63.31,63.0,47.69,5
66,2021-03-07,69.69,63.0,47.31,6
67,2021-03-08,76.32,146.68,50.0,0
68,2021-03-09,78.63,143.68,47.69,1
69,2021-03-10,84.32,114.68,45.69,2
70,2021-03-11,77.32,133.37,44.31,3
71,2021-03-12,69.62,120.69,43.69,4
72,2021-03-13,63.0,58.69,44.0,5
73,2021-03-14,64.0,59.0,44.0,6
74,2021-03-15,78.61,121.76,44.63,0
75,2021-03-16,64.0,125.0,43.0,1
76,2021-03-17,69.75,134.62,43.63,2
77,2021-03-18,73.38,127.62,44.63,3
78,2021-03-19,82.38,127.62,45.0,4
