,Date,00:00-09:00,09:00-18:00,18:00-00:00,day_of_the_week
0,2021-05-21,,105.62,8.0,4
1,2021-05-22,15.1,137.9,6.0,5
2,2021-05-23,11.1,102.9,4.0,6
3,2021-05-24,8.0,106.1,1.9,0
4,2021-05-25,15.1,135.9,8.0,1
5,2021-05-26,15.49,143.0,8.51,2
6,2021-05-27,11.49,145.51,9.0,3
7,2021-05-28,15.49,137.51,7.0,4
8,2021-05-29,15.48,138.0,7.52,5
9,2021-05-30,2.0,108.13,8.87,6
10,2021-05-31,13.13,138.93,8.94,0
11,2021-06-01,16.05,140.99,8.96,1
12,2021-06-02,15.0,105.04,6.96,2
13,2021-06-03,15.02,139.98,9.0,3
14,2021-06-04,15.0,139.0,9.0,4
15,2021-06-05,6.0,65.0,4.0,5
16,2021-06-06,7.0,79.0,1.0,6
17,2021-06-07,16.0,134.99,8.01,0
18,2021-06-08,14.0,57.0,3.0,1
19,2021-06-09,15.98,107.02,0.0,2
20,2021-06-10,14.98,108.02,2.0,3
21,2021-06-11,15.96,137.0,5.04,4
22,2021-06-12,14.96,142.0,10.04,5
23,2021-06-13,15.0,136.96,9.04,6
24,2021-06-14,14.96,127.04,4.0,0
25,2021-06-15,15.96,142.6,9.44,1
26,2021-06-16,13.56,110.0,4.44,2
27,2021-06-17,14.55,136.0,11.45,3
28,2021-06-18,15.55,108.45,9.0,4
29,2021-06-19,16.55,110.0,7.45,5
30,2021-06-20,12.55,92.0,6.45,6
31,2021-06-21,11.55,98.0,6.45,0
32,2021-06-22,14.55,126.0,8.45,1
33,2021-06-23,11.55,104.45,5.0,2
34,2021-06-24,11.0,80.0,9.0,3
35,2021-06-25,9.55,122.45,9.0,4
36,2021-06-26,14.55,133.45,9.0,5
37,2021-06-27,14.55,128.45,9.0,6
38,2021-06-28,12.55,124.0,8.45,0
39,2021-06-29,12.0,111.0,8.0,1
40,2021-06-30,13.55,130.99,9.46,2
41,2021-07-01,10.54,128.46,9.0,3
42,2021-07-02,13.54,122.0,8.46,4
43,2021-07-03,13.54,128.0,7.46,5
44,2021-07-04,12.53,103.0,8.47,6
45,2021-07-05,12.53,130.99,8.48,0
46,2021-07-06,12.52,126.48,9.0,1
47,2021-07-07,12.0,122.51,7.49,2
48,2021-07-08,7.0,85.5,6.5,3
49,2021-07-09,9.49,108.51,8.0,4
50,2021-07-10,11.47,88.47,42.58,5
51,2021-07-11,63.27,63.87,19.74,6
52,2021-07-12,11.62,117.38,7.0,0
53,2021-07-13,7.0,64.0,4.0,1
54,2021-07-14,11.0,104.0,7.0,2
55,2021-07-15,11.62,115.0,7.38,3
56,2021-07-16,6.62,78.0,6.38,4
57,2021-07-17,11.0,69.62,3.38,5
58,2021-07-18,8.62,92.0,10.38,6
59,2021-07-19,9.62,95.38,5.0,0
60,2021-07-20,10.96,118.0,6.04,1
61,2021-07-21,10.96,117.0,7.04,2
62,2021-07-22,9.96,130.0,8.04,3
63,2021-07-23,11.0,130.0,8.0,4
64,2021-07-24,10.95,122.05,5.0,5
65,2021-07-25,8.95,62.05,3.0,6
66,2021-07-26,8.0,62.95,6.05,0
67,2021-07-27,4.0,104.0,8.0,1
68,2021-07-28,10.95,124.05,7.0,2
69,2021-07-29,10.0,125.0,7.0,3
70,2021-07-30,10.95,123.0,7.05,4
71,2021-07-31,9.95,124.0,7.05,5
72,2021-08-01,7.95,115.0,5.05,6
73,2021-08-02,10.95,123.05,4.0,0
74,2021-08-03,5.0,118.95,7.05,1
75,2021-08-04,8.0,107.0,6.0,2
76,2021-08-05,7.95,104.05,6.0,3
77,2021-08-06,9.95,126.0,6.05,4
78,2021-08-07,9.95,124.0,6.05,5
79,2021-08-08,9.95,111.0,2.05,6
80,2021-08-09,7.0,86.95,5.05,0
81,2021-08-10,7.95,87.05,3.0,1
82,2021-08-11,6.94,95.06,6.0,2
83,2021-08-12,8.86,112.98,4.16,3
84,2021-08-13,7.84,105.16,6.0,4
85,2021-08-14,7.83,107.17,5.0,5
86,2021-08-15,7.0,109.83,4.17,6
87,2021-08-16,4.83,106.0,3.17,0
88,2021-08-17,6.0,109.0,4.03,1
89,2021-08-18,0.95,101.02,4.0,2
90,2021-08-19,6.8,97.2,4.0,3
91,2021-08-20,7.8,116.0,6.2,4
92,2021-08-21,7.79,115.21,5.0,5
93,2021-08-22,6.79,112.0,4.21,6
94,2021-08-23,4.79,80.0,3.21,0
95,2021-08-24,8.0,70.0,1.0,1
96,2021-08-25,6.78,99.22,2.0,2
97,2021-08-26,8.0,117.0,4.0,3
98,2021-08-27,8.77,103.0,3.23,4
99,2021-08-28,7.77,86.23,4.0,5
100,2021-08-29,8.0,124.76,4.24,6
101,2021-08-30,7.76,117.24,4.0,0
102,2021-08-31,7.05,109.95,3.0,1
103,2021-09-01,7.05,117.0,3.95,2
104,2021-09-02,7.05,112.95,2.0,3
105,2021-09-03,2.0,83.0,2.0,4
106,2021-09-04,6.05,101.95,3.0,5
107,2021-09-05,6.05,106.95,3.0,6
108,2021-09-06,7.0,108.0,4.0,0
109,2021-09-07,6.04,102.96,2.0,1
110,2021-09-08,5.0,97.04,6.96,2
111,2021-09-09,6.04,102.96,2.0,3
112,2021-09-10,5.04,75.96,1.0,4
113,2021-09-11,5.0,94.0,2.0,5
114,2021-09-12,5.04,105.96,2.0,6
115,2021-09-13,5.04,104.0,2.96,0
116,2021-09-14,5.0,88.0,1.0,1
117,2021-09-15,4.0,81.0,1.0,2
118,2021-09-16,4.04,73.96,1.0,3
119,2021-09-17,1.0,49.0,1.0,4
120,2021-09-18,4.02,91.98,1.0,5
121,2021-09-19,4.02,90.0,0.98,6
122,2021-09-20,5.0,87.02,1.98,0
123,2021-09-21,4.02,89.98,1.0,1
124,2021-09-22,4.0,97.0,1.0,2
125,2021-09-23,4.0,94.0,1.0,3
126,2021-09-24,4.02,97.98,1.0,4
127,2021-09-25,0.0,0.0,0.0,5
128,2021-09-26,0.0,0.0,0.0,6
129,2021-09-27,0.0,35.0,0.0,0
130,2021-09-28,3.97,85.03,0.0,1
131,2021-09-29,4.0,82.0,1.0,2
132,2021-09-30,3.97,89.03,0.0,3
133,2021-10-01,3.97,84.03,1.0,4
134,2021-10-02,3.0,38.0,1.0,5
135,2021-10-03,2.0,59.0,0.0,6
136,2021-10-04,3.0,72.0,0.0,0
137,2021-10-05,1.0,50.0,0.0,1
138,2021-10-06,1.0,35.0,0.0,2
139,2021-10-07,3.14,89.86,0.0,3
140,2021-10-08,3.0,57.0,1.0,4
141,2021-10-09,2.14,87.86,0.0,5
142,2021-10-10,3.0,92.0,0.0,6
143,2021-10-11,1.0,59.14,0.86,0
