ID,Date,D_kilowatt_cons
0,2020-12-31,0.0
1,2021-01-01,150.0
2,2021-01-02,144.13000000000466
3,2021-01-03,145.86999999999534
4,2021-01-04,292.0
5,2021-01-05,272.13000000000466
6,2021-01-06,149.85000000000582
7,2021-01-07,310.1499999999942
8,2021-01-08,275.0
9,2021-01-09,146.0
10,2021-01-10,146.0
11,2021-01-11,327.8500000000058
12,2021-01-12,274.0
13,2021-01-13,264.1499999999942
14,2021-01-14,258.8399999999965
15,2021-01-15,266.0
16,2021-01-16,146.1600000000035
17,2021-01-17,147.0
18,2021-01-18,286.0
19,2021-01-19,293.0
20,2021-01-20,268.8399999999965
21,2021-01-21,263.0
22,2021-01-22,263.1600000000035
23,2021-01-23,148.0
24,2021-01-24,149.0
25,2021-01-25,289.83000000000175
26,2021-01-26,266.0
27,2021-01-27,278.16999999999825
28,2021-01-28,274.83000000000175
29,2021-01-29,279.0
30,2021-01-30,147.16999999999825
31,2021-01-31,146.0
32,2021-02-01,244.0
33,2021-02-02,245.83000000000175
34,2021-02-03,259.0
35,2021-02-04,230.0
36,2021-02-05,241.0
37,2021-02-06,168.16999999999825
38,2021-02-07,167.82000000000698
39,2021-02-08,266.0
40,2021-02-09,240.50999999999476
41,2021-02-10,246.66999999999825
42,2021-02-11,248.0
43,2021-02-12,248.0
44,2021-02-13,198.0
45,2021-02-14,158.0
46,2021-02-15,283.0
47,2021-02-16,286.320000000007
48,2021-02-17,274.679999999993
49,2021-02-18,231.32000000000698
50,2021-02-19,238.67999999999302
51,2021-02-20,175.0
52,2021-02-21,187.32000000000698
53,2021-02-22,216.67999999999302
54,2021-02-23,217.0
55,2021-02-24,217.32000000000698
56,2021-02-25,210.67999999999302
57,2021-02-26,214.0
58,2021-02-27,159.0
59,2021-02-28,158.0
60,2021-03-01,230.32000000000698
61,2021-03-02,236.67999999999302
62,2021-03-03,233.0
63,2021-03-04,213.0
64,2021-03-05,246.30999999999767
65,2021-03-06,174.69000000000233
66,2021-03-07,180.30999999999767
67,2021-03-08,274.0
68,2021-03-09,270.6900000000023
69,2021-03-10,245.0
70,2021-03-11,255.30999999999767
71,2021-03-12,234.69000000000233
72,2021-03-13,166.0
73,2021-03-14,167.30999999999767
74,2021-03-15,245.69000000000233
75,2021-03-16,232.36999999999534
76,2021-03-17,248.63000000000466
77,2021-03-18,246.0
78,2021-03-19,255.36999999999534
79,2021-03-20,154.63000000000466
80,2021-03-21,156.0
81,2021-03-22,239.36999999999534
82,2021-03-23,228.0
83,2021-03-24,239.05999999999767
84,2021-03-25,225.0
85,2021-03-26,208.0
86,2021-03-27,167.57000000000698
87,2021-03-28,163.0
88,2021-03-29,227.42999999999302
89,2021-03-30,199.57000000000698
90,2021-03-31,191.0
91,2021-04-01,185.0
92,2021-04-02,182.41999999999825
93,2021-04-03,150.58000000000175
94,2021-04-04,150.0
95,2021-04-05,154.41999999999825
96,2021-04-06,217.58000000000175
97,2021-04-07,219.0
98,2021-04-08,230.41999999999825
99,2021-04-09,228.58000000000175
100,2021-04-10,211.41999999999825
101,2021-04-11,229.0
102,2021-04-12,249.0
103,2021-04-13,212.58000000000175
104,2021-04-14,210.41999999999825
105,2021-04-15,208.0
106,2021-04-16,213.0
107,2021-04-17,152.0
108,2021-04-18,149.58000000000175
109,2021-04-19,236.0
110,2021-04-20,223.0
111,2021-04-21,207.86999999999534
112,2021-04-22,194.13000000000466
113,2021-04-23,182.86999999999534
114,2021-04-24,146.0
115,2021-04-25,145.13000000000466
116,2021-04-26,176.0
117,2021-04-27,172.0
118,2021-04-28,178.86000000000058
119,2021-04-29,185.13999999999942
120,2021-04-30,165.02999999999884
121,2021-05-01,148.0
122,2021-05-02,149.0
123,2021-05-03,178.0
124,2021-05-04,155.97000000000116
125,2021-05-05,177.0
126,2021-05-06,170.02999999999884
127,2021-05-07,167.97000000000116
128,2021-05-08,147.02000000000407
