ID,Date,D_kilowatt_cons
0,2021-05-21,113.62
1,2021-05-22,159.0
2,2021-05-23,118.0
3,2021-05-24,116.0
4,2021-05-25,159.0
5,2021-05-26,167.0
6,2021-05-27,166.0
7,2021-05-28,160.0
8,2021-05-29,161.0
9,2021-05-30,119.0
10,2021-05-31,161.0
11,2021-06-01,166.0
12,2021-06-02,127.0
13,2021-06-03,164.0
14,2021-06-04,163.0
15,2021-06-05,75.0
16,2021-06-06,87.0
17,2021-06-07,159.0
18,2021-06-08,74.0
19,2021-06-09,123.0
20,2021-06-10,125.0
21,2021-06-11,158.0
22,2021-06-12,167.0
23,2021-06-13,161.0
24,2021-06-14,146.0
25,2021-06-15,168.0
26,2021-06-16,128.0
27,2021-06-17,162.0
28,2021-06-18,133.0
29,2021-06-19,134.0
30,2021-06-20,111.0
31,2021-06-21,116.0
32,2021-06-22,149.0
33,2021-06-23,121.0
34,2021-06-24,100.0
35,2021-06-25,141.0
36,2021-06-26,157.0
37,2021-06-27,152.0
38,2021-06-28,145.0
39,2021-06-29,131.0
40,2021-06-30,154.0
41,2021-07-01,148.0
42,2021-07-02,144.0
43,2021-07-03,149.0
44,2021-07-04,124.0
45,2021-07-05,152.0
46,2021-07-06,148.0
47,2021-07-07,142.0
48,2021-07-08,99.0
49,2021-07-09,126.0
50,2021-07-10,142.52000000000044
51,2021-07-11,147.47999999999956
52,2021-07-12,136.0
53,2021-07-13,75.0
54,2021-07-14,122.0
55,2021-07-15,134.0
56,2021-07-16,91.0
57,2021-07-17,84.0
58,2021-07-18,111.0
59,2021-07-19,110.0
60,2021-07-20,135.0
61,2021-07-21,135.0
62,2021-07-22,148.0
63,2021-07-23,149.0
64,2021-07-24,138.0
65,2021-07-25,74.0
66,2021-07-26,77.0
67,2021-07-27,116.0
68,2021-07-28,142.0
69,2021-07-29,142.0
70,2021-07-30,141.0
71,2021-07-31,141.0
72,2021-08-01,128.0
73,2021-08-02,138.0
74,2021-08-03,131.0
75,2021-08-04,121.0
76,2021-08-05,118.0
77,2021-08-06,142.0
78,2021-08-07,140.0
79,2021-08-08,123.0
80,2021-08-09,99.0
81,2021-08-10,98.0
82,2021-08-11,108.0
83,2021-08-12,126.0
84,2021-08-13,119.0
85,2021-08-14,120.0
86,2021-08-15,121.0
87,2021-08-16,114.0
88,2021-08-17,119.03000000000065
89,2021-08-18,105.96999999999935
90,2021-08-19,108.0
91,2021-08-20,130.0
92,2021-08-21,128.0
93,2021-08-22,123.0
94,2021-08-23,88.0
95,2021-08-24,79.0
96,2021-08-25,108.0
97,2021-08-26,129.0
98,2021-08-27,115.0
99,2021-08-28,98.0
100,2021-08-29,137.0
101,2021-08-30,129.0
102,2021-08-31,120.0
103,2021-09-01,128.0
104,2021-09-02,122.0
105,2021-09-03,87.0
106,2021-09-04,111.0
107,2021-09-05,116.0
108,2021-09-06,119.0
109,2021-09-07,111.0
110,2021-09-08,109.0
111,2021-09-09,111.0
112,2021-09-10,82.0
113,2021-09-11,101.0
114,2021-09-12,113.0
115,2021-09-13,112.0
116,2021-09-14,94.0
117,2021-09-15,86.0
118,2021-09-16,79.0
119,2021-09-17,51.0
120,2021-09-18,97.0
121,2021-09-19,95.0
122,2021-09-20,94.0
123,2021-09-21,95.0
124,2021-09-22,102.0
125,2021-09-23,99.0
126,2021-09-24,103.0
127,2021-09-25,0.0
128,2021-09-26,0.0
129,2021-09-27,35.0
130,2021-09-28,89.0
131,2021-09-29,87.0
132,2021-09-30,93.0
133,2021-10-01,89.0
134,2021-10-02,42.0
135,2021-10-03,61.0
136,2021-10-04,75.0
137,2021-10-05,51.0
138,2021-10-06,36.0
139,2021-10-07,93.0
140,2021-10-08,61.0
141,2021-10-09,90.0
142,2021-10-10,95.0
