ID,Date,H_kilowatt_cons
0,2020-12-31 23:00 -> 00:00,0.0
1,2021-01-01 00:00 -> 01:00,4.779999999998836
2,2021-01-01 01:00 -> 02:00,4.0
3,2021-01-01 02:00 -> 03:00,4.220000000001164
4,2021-01-01 03:00 -> 04:00,4.779999999998836
5,2021-01-01 04:00 -> 05:00,4.220000000001164
6,2021-01-01 05:00 -> 06:00,4.779999999998836
7,2021-01-01 06:00 -> 07:00,4.0
8,2021-01-01 07:00 -> 08:00,4.220000000001164
9,2021-01-01 08:00 -> 09:00,4.779999999998836
10,2021-01-01 09:00 -> 10:00,4.220000000001164
11,2021-01-01 10:00 -> 11:00,4.779999999998836
12,2021-01-01 11:00 -> 12:00,4.0
13,2021-01-01 12:00 -> 13:00,4.220000000001164
14,2021-01-01 13:00 -> 14:00,4.779999999998836
15,2021-01-01 14:00 -> 15:00,4.0
16,2021-01-01 15:00 -> 16:00,4.220000000001164
17,2021-01-01 16:00 -> 17:00,4.779999999998836
18,2021-01-01 17:00 -> 18:00,4.0
19,2021-01-01 18:00 -> 19:00,4.220000000001164
20,2021-01-01 19:00 -> 20:00,4.779999999998836
21,2021-01-01 20:00 -> 21:00,4.220000000001164
22,2021-01-01 21:00 -> 22:00,4.779999999998836
23,2021-01-01 22:00 -> 23:00,4.0
24,2021-01-01 23:00 -> 00:00,4.220000000001164
25,2021-01-02 00:00 -> 01:00,4.779999999998836
26,2021-01-02 01:00 -> 02:00,4.220000000001164
27,2021-01-02 02:00 -> 03:00,4.779999999998836
28,2021-01-02 03:00 -> 04:00,4.0
29,2021-01-02 04:00 -> 05:00,4.220000000001164
30,2021-01-02 05:00 -> 06:00,4.779999999998836
31,2021-01-02 06:00 -> 07:00,4.220000000001164
32,2021-01-02 07:00 -> 08:00,4.779999999998836
33,2021-01-02 08:00 -> 09:00,4.0
34,2021-01-02 09:00 -> 10:00,4.0
35,2021-01-02 10:00 -> 11:00,4.220000000001164
36,2021-01-02 11:00 -> 12:00,4.779999999998836
37,2021-01-02 12:00 -> 13:00,4.0
38,2021-01-02 13:00 -> 14:00,4.220000000001164
39,2021-01-02 14:00 -> 15:00,4.779999999998836
40,2021-01-02 15:00 -> 16:00,4.0
41,2021-01-02 16:00 -> 17:00,4.210000000006403
42,2021-01-02 17:00 -> 18:00,4.0
43,2021-01-02 18:00 -> 19:00,4.789999999993597
44,2021-01-02 19:00 -> 20:00,4.210000000006403
45,2021-01-02 20:00 -> 21:00,4.789999999993597
46,2021-01-02 21:00 -> 22:00,4.0
47,2021-01-02 22:00 -> 23:00,4.210000000006403
48,2021-01-02 23:00 -> 00:00,4.789999999993597
49,2021-01-03 00:00 -> 01:00,4.210000000006403
50,2021-01-03 01:00 -> 02:00,4.789999999993597
51,2021-01-03 02:00 -> 03:00,4.210000000006403
52,2021-01-03 03:00 -> 04:00,4.789999999993597
53,2021-01-03 04:00 -> 05:00,4.210000000006403
54,2021-01-03 05:00 -> 06:00,4.789999999993597
55,2021-01-03 06:00 -> 07:00,4.0
56,2021-01-03 07:00 -> 08:00,4.210000000006403
57,2021-01-03 08:00 -> 09:00,4.789999999993597
58,2021-01-03 09:00 -> 10:00,4.210000000006403
59,2021-01-03 10:00 -> 11:00,4.789999999993597
60,2021-01-03 11:00 -> 12:00,4.0
