ID,Date,H_kilowatt_cons
0,2020-12-31 23:00 -> 00:00,0.0
1,2021-01-01 00:00 -> 01:00,6.0
2,2021-01-01 01:00 -> 02:00,7.0
3,2021-01-01 02:00 -> 03:00,6.130000000004657
4,2021-01-01 03:00 -> 04:00,6.869999999995343
5,2021-01-01 04:00 -> 05:00,6.0
6,2021-01-01 05:00 -> 06:00,6.130000000004657
7,2021-01-01 06:00 -> 07:00,6.869999999995343
8,2021-01-01 07:00 -> 08:00,6.0
9,2021-01-01 08:00 -> 09:00,5.130000000004657
10,2021-01-01 09:00 -> 10:00,6.869999999995343
11,2021-01-01 10:00 -> 11:00,6.130000000004657
12,2021-01-01 11:00 -> 12:00,6.0
13,2021-01-01 12:00 -> 13:00,6.0
14,2021-01-01 13:00 -> 14:00,6.0
15,2021-01-01 14:00 -> 15:00,6.0
16,2021-01-01 15:00 -> 16:00,6.0
17,2021-01-01 16:00 -> 17:00,6.0
18,2021-01-01 17:00 -> 18:00,6.869999999995343
19,2021-01-01 18:00 -> 19:00,7.0
20,2021-01-01 19:00 -> 20:00,6.0
21,2021-01-01 20:00 -> 21:00,6.130000000004657
22,2021-01-01 21:00 -> 22:00,6.0
23,2021-01-01 22:00 -> 23:00,6.869999999995343
24,2021-01-01 23:00 -> 00:00,6.0
25,2021-01-02 00:00 -> 01:00,6.130000000004657
26,2021-01-02 01:00 -> 02:00,7.0
27,2021-01-02 02:00 -> 03:00,6.0
28,2021-01-02 03:00 -> 04:00,6.0
29,2021-01-02 04:00 -> 05:00,6.869999999995343
30,2021-01-02 05:00 -> 06:00,6.0
31,2021-01-02 06:00 -> 07:00,6.130000000004657
32,2021-01-02 07:00 -> 08:00,6.0
33,2021-01-02 08:00 -> 09:00,5.869999999995343
34,2021-01-02 09:00 -> 10:00,6.0
35,2021-01-02 10:00 -> 11:00,5.130000000004657
36,2021-01-02 11:00 -> 12:00,5.869999999995343
37,2021-01-02 12:00 -> 13:00,5.0
38,2021-01-02 13:00 -> 14:00,5.130000000004657
39,2021-01-02 14:00 -> 15:00,5.869999999995343
40,2021-01-02 15:00 -> 16:00,5.130000000004657
41,2021-01-02 16:00 -> 17:00,5.869999999995343
42,2021-01-02 17:00 -> 18:00,7.0
43,2021-01-02 18:00 -> 19:00,6.0
44,2021-01-02 19:00 -> 20:00,6.130000000004657
45,2021-01-02 20:00 -> 21:00,6.0
46,2021-01-02 21:00 -> 22:00,6.869999999995343
47,2021-01-02 22:00 -> 23:00,6.0
48,2021-01-02 23:00 -> 00:00,6.130000000004657
49,2021-01-03 00:00 -> 01:00,6.869999999995343
50,2021-01-03 01:00 -> 02:00,6.130000000004657
51,2021-01-03 02:00 -> 03:00,6.869999999995343
52,2021-01-03 03:00 -> 04:00,6.0
53,2021-01-03 04:00 -> 05:00,6.130000000004657
54,2021-01-03 05:00 -> 06:00,6.869999999995343
55,2021-01-03 06:00 -> 07:00,6.0
56,2021-01-03 07:00 -> 08:00,6.130000000004657
57,2021-01-03 08:00 -> 09:00,5.869999999995343
58,2021-01-03 09:00 -> 10:00,6.0
59,2021-01-03 10:00 -> 11:00,5.130000000004657
60,2021-01-03 11:00 -> 12:00,5.0
61,2021-01-03 12:00 -> 13:00,6.0
62,2021-01-03 13:00 -> 14:00,5.0
63,2021-01-03 14:00 -> 15:00,5.869999999995343
