ID,Date,M_Kilowatt_Consumed
0,2021-05,1599.62
1,2021-06,4097.0
2,2021-07,3923.0
3,2021-08,3663.0
4,2021-09,2721.0
5,2021-10,2031.0
6,2021-11,1056.0
7,2021-12,834.0
8,2022-01,1316.0
9,2022-02,1743.0
10,2022-03,2723.0
11,2022-04,3182.0
12,2022-05,3577.0
13,2022-06,3574.0
14,2022-07,4209.0
15,2022-08,3559.0
16,2022-09,2616.0
17,2022-10,2220.0
18,2022-11,1249.0
19,2022-12,799.0
20,2023-01,1054.0
21,2023-02,1533.0
22,2023-03,2450.0
23,2023-04,3154.0
24,2023-05,3134.0
25,2023-06,3959.0
26,2023-07,3739.0
27,2023-08,3555.0
28,2023-09,2731.0
29,2023-10,1779.0
30,2023-11,473.0
