ID,Date,M_kilowatt_cons,date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,relative_humidity_2m_max,precipitation_mean,precipitation_min,precipitation_max,rain_mean,rain_min,rain_max,pressure_msl_mean,pressure_msl_min,pressure_msl_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,cloud_cover_mean,cloud_cover_min,cloud_cover_max
0,2021-01,3236.959999999992,2021-01-31,7.3,-2.0,16.2,81.0,37.7,99.3,0.2,0.0,4.9,0.2,0.0,4.9,1011.9,993.3,1028.1,1009.3,990.8,1025.5,52.3,0.0,100.0
1,2021-02,3264.820000000007,2021-02-28,9.9,-1.7,20.3,80.2,30.2,100.0,0.1,0.0,3.8,0.1,0.0,3.8,1020.2,997.7,1038.2,1017.6,995.2,1035.5,35.5,0.0,100.0
2,2021-03,3536.0,2021-03-31,10.1,0.2,23.0,72.6,27.9,100.0,0.1,0.0,5.4,0.1,0.0,5.4,1020.0,1004.0,1033.1,1017.4,1001.5,1030.5,32.6,0.0,100.0
3,2021-04,3685.0,2021-04-30,12.4,1.5,24.6,73.2,20.6,100.0,0.1,0.0,5.5,0.1,0.0,5.5,1016.1,999.8,1030.0,1013.5,997.3,1027.4,44.1,0.0,100.0
4,2021-05,4461.0,2021-05-31,17.2,8.0,29.4,71.9,27.3,100.0,0.1,0.0,2.8,0.1,0.0,2.8,1015.5,1008.7,1021.9,1013.0,1006.2,1019.3,30.1,0.0,100.0
5,2021-06,4403.0,2021-06-30,23.4,12.8,35.5,66.1,20.8,100.0,0.1,0.0,8.2,0.1,0.0,8.2,1016.4,1010.6,1024.2,1014.0,1008.2,1021.7,19.1,0.0,100.0
6,2021-07,4881.0,2021-07-31,26.5,18.1,38.0,58.8,15.2,100.0,0.0,0.0,5.8,0.0,0.0,5.8,1013.2,1005.2,1018.2,1010.8,1002.8,1015.8,17.3,0.0,100.0
7,2021-08,5050.0,2021-08-31,26.3,14.9,38.9,62.9,14.3,100.0,0.0,0.0,1.4,0.0,0.0,1.4,1013.5,1007.5,1020.0,1011.0,1005.1,1017.6,16.2,0.0,96.9
8,2021-09,4784.0,2021-09-30,22.9,15.4,31.5,68.0,29.0,100.0,0.0,0.0,3.2,0.0,0.0,3.2,1017.3,1012.2,1021.8,1014.8,1009.8,1019.4,23.2,0.0,100.0
9,2021-10,5032.790000000008,2021-10-31,16.2,9.0,27.2,72.0,27.5,97.5,0.1,0.0,4.2,0.1,0.0,4.2,1017.7,1006.6,1028.9,1015.2,1004.1,1026.3,34.1,0.0,100.0
