,ID,Date,Consumption,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,daylight_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
0,0,2021-01-01 00:00:00 -> 2021-01-01 23:55:00,104.78,2021-01-01 23:00:00,11.064501,7.3645,9.431168,33147.2,28.499998,28.499998,0.0,23.0
1,1,2021-01-02 00:00:00 -> 2021-01-02 23:55:00,104.78,2021-01-02 23:00:00,9.814501,6.2145,7.5144997,33198.89,5.699999,5.699999,0.0,20.0
2,2,2021-01-03 00:00:00 -> 2021-01-03 23:55:00,106.00,2021-01-03 23:00:00,10.764501,4.9645,6.9874167,33254.234,5.200001,5.200001,0.0,17.0
3,3,2021-01-04 00:00:00 -> 2021-01-04 23:55:00,104.79,2021-01-04 23:00:00,9.7145,5.6644998,7.306167,33313.168,24.9,24.9,0.0,23.0
4,4,2021-01-05 00:00:00 -> 2021-01-05 23:55:00,106.00,2021-01-05 23:00:00,11.1145,4.3645,7.206166,33375.62,3.6,3.6,0.0,11.0
5,5,2021-01-06 00:00:00 -> 2021-01-06 23:55:00,104.00,2021-01-06 23:00:00,7.5145,2.2645,4.891584,33441.52,1.8000001,1.8000001,0.0,5.0
6,6,2021-01-07 00:00:00 -> 2021-01-07 23:55:00,105.00,2021-01-07 23:00:00,9.764501,4.1145,6.6207504,33510.934,0.0,0.0,0.0,0.0
7,7,2021-01-08 00:00:00 -> 2021-01-08 23:55:00,104.80,2021-01-08 23:00:00,7.0645,3.6645,5.9040833,33584.637,9.9000025,9.9000025,0.0,9.0
8,8,2021-01-09 00:00:00 -> 2021-01-09 23:55:00,104.80,2021-01-09 23:00:00,9.3645,5.3645,7.108251,33662.637,13.099999,13.099999,0.0,11.0
9,9,2021-01-10 00:00:00 -> 2021-01-10 23:55:00,104.80,2021-01-10 23:00:00,8.764501,3.3645,5.2770004,33744.754,0.0,0.0,0.0,0.0
10,10,2021-01-11 00:00:00 -> 2021-01-11 23:55:00,104.80,2021-01-11 23:00:00,11.014501,1.2644999,4.960334,33830.816,0.0,0.0,0.0,0.0
11,11,2021-01-12 00:00:00 -> 2021-01-12 23:55:00,103.80,2021-01-12 23:00:00,11.9145,0.36450002,5.160333,33920.65,0.0,0.0,0.0,0.0
12,12,2021-01-13 00:00:00 -> 2021-01-13 23:55:00,103.80,2021-01-13 23:00:00,14.6145,1.9145,7.9769993,34014.074,0.0,0.0,0.0,0.0
13,13,2021-01-14 00:00:00 -> 2021-01-14 23:55:00,104.00,2021-01-14 23:00:00,11.3645,4.3645,7.049917,34110.914,2.7,2.7,0.0,7.0
14,14,2021-01-15 00:00:00 -> 2021-01-15 23:55:00,104.00,2021-01-15 23:00:00,9.9145,0.11450001,4.8999166,34211.01,0.0,0.0,0.0,0.0
15,15,2021-01-16 00:00:00 -> 2021-01-16 23:55:00,104.80,2021-01-16 23:00:00,5.4144998,-1.9855001,1.74575,34314.188,3.3,3.3,0.0,7.0
16,16,2021-01-17 00:00:00 -> 2021-01-17 23:55:00,104.00,2021-01-17 23:00:00,11.1145,0.8645,4.637417,34420.277,0.0,0.0,0.0,0.0
17,17,2021-01-18 00:00:00 -> 2021-01-18 23:55:00,102.20,2021-01-18 23:00:00,12.1145,-0.1855,5.443667,34529.105,0.0,0.0,0.0,0.0
