ID,Date,Kilowatt_Consumed,date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,relative_humidity_2m_max,precipitation_mean,precipitation_min,precipitation_max,rain_mean,rain_min,rain_max,pressure_msl_mean,pressure_msl_min,pressure_msl_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,cloud_cover_mean,cloud_cover_min,cloud_cover_max
0,2021-05-21 11:00 -> 12:00,8.719999999999999,2021-05-21,16.3,9.8,22.7,65.2,36.1,89.2,0.0,0.0,0.0,0.0,0.0,0.0,1020.5,1018.0,1021.9,1017.9,1015.5,1019.3,16.6,0.0,27.0
1,2021-05-21 12:00 -> 13:00,16.340000000000003,2021-05-22,18.5,13.8,22.4,56.5,44.8,74.8,0.0,0.0,0.0,0.0,0.0,0.0,1016.3,1015.2,1017.5,1013.8,1012.7,1015.0,22.8,0.0,90.0
2,2021-05-21 13:00 -> 14:00,18.39,2021-05-23,20.0,16.6,24.2,71.4,56.5,96.2,0.0,0.0,0.3,0.0,0.0,0.3,1017.1,1015.7,1018.2,1014.6,1013.2,1015.7,74.5,24.3,100.0
3,2021-05-21 14:00 -> 15:00,17.11,2021-05-24,20.9,15.7,29.4,71.1,27.3,97.8,0.0,0.0,0.4,0.0,0.0,0.4,1015.6,1013.4,1018.1,1013.1,1011.0,1015.6,53.8,10.8,100.0
4,2021-05-21 15:00 -> 16:00,16.0,2021-05-25,18.5,13.5,23.5,72.9,49.4,98.7,0.0,0.0,0.0,0.0,0.0,0.0,1019.3,1018.1,1020.2,1016.8,1015.6,1017.7,4.1,0.0,34.2
5,2021-05-21 16:00 -> 17:00,12.0,2021-05-26,18.2,12.6,24.0,57.4,35.4,86.6,0.0,0.0,0.0,0.0,0.0,0.0,1018.2,1016.6,1019.7,1015.7,1014.1,1017.2,9.6,0.0,29.7
6,2021-05-21 17:00 -> 18:00,10.0,2021-05-27,17.3,12.1,22.8,70.5,41.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.8,1015.8,1017.4,1014.3,1013.3,1014.9,15.5,0.0,89.1
7,2021-05-21 18:00 -> 19:00,5.0,2021-05-28,19.8,12.5,27.3,63.7,38.1,99.7,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1015.9,1017.9,1014.5,1013.4,1015.4,7.7,0.0,89.1
8,2021-05-21 19:00 -> 20:00,2.0,2021-05-29,20.0,13.5,26.8,60.0,31.8,90.9,0.0,0.0,0.0,0.0,0.0,0.0,1016.3,1015.1,1017.4,1013.8,1012.6,1014.9,23.4,7.2,45.9
9,2021-05-21 20:00 -> 21:00,0.0,2021-05-30,18.9,15.5,23.7,79.8,60.1,95.0,0.2,0.0,1.3,0.2,0.0,1.3,1016.0,1015.0,1017.2,1013.5,1012.5,1014.7,53.8,3.3,100.0
10,2021-05-21 21:00 -> 22:00,0.0,2021-05-31,18.8,13.5,24.6,54.3,31.1,74.7,0.1,0.0,0.3,0.1,0.0,0.3,1016.9,1015.5,1018.0,1014.4,1013.0,1015.5,19.4,0.0,62.7
11,2021-05-21 22:00 -> 23:00,0.0,2021-06-01,19.1,12.8,26.0,56.8,25.1,86.2,0.0,0.0,0.0,0.0,0.0,0.0,1016.8,1015.4,1018.0,1014.4,1012.9,1015.5,1.8,0.0,13.8
12,2021-05-21 23:00 -> 00:00,0.0,2021-06-02,19.4,13.1,25.5,60.1,34.4,89.2,0.0,0.0,0.0,0.0,0.0,0.0,1019.6,1017.7,1022.0,1017.1,1015.2,1019.5,30.0,0.6,81.6
13,2021-05-22 00:00 -> 01:00,0.0,2021-06-03,21.9,14.8,29.2,45.7,23.7,69.3,0.0,0.0,0.0,0.0,0.0,0.0,1022.5,1022.0,1023.4,1020.0,1019.5,1020.9,2.0,0.0,12.6
14,2021-05-22 01:00 -> 02:00,0.0,2021-06-04,22.6,15.5,29.9,42.5,22.6,69.6,0.0,0.0,0.0,0.0,0.0,0.0,1023.6,1022.7,1024.2,1021.1,1020.2,1021.7,16.3,0.0,30.0
15,2021-05-22 02:00 -> 03:00,0.0,2021-06-05,20.5,17.9,23.2,65.3,54.4,86.4,0.0,0.0,0.1,0.0,0.0,0.1,1022.3,1020.1,1024.0,1019.8,1017.6,1021.5,59.7,25.8,90.0
16,2021-05-22 03:00 -> 04:00,0.0,2021-06-06,20.7,17.7,25.1,66.2,35.7,93.0,0.7,0.0,6.5,0.7,0.0,6.5,1017.9,1016.3,1020.4,1015.4,1013.8,1017.9,77.8,30.9,100.0
17,2021-05-22 04:00 -> 05:00,0.0,2021-06-07,20.6,16.7,26.0,79.9,55.8,94.8,0.7,0.0,8.2,0.7,0.0,8.2,1016.2,1015.2,1016.9,1013.7,1012.7,1014.4,38.5,0.0,97.5
18,2021-05-22 05:00 -> 06:00,0.0,2021-06-08,19.6,16.6,24.4,89.2,71.0,100.0,0.7,0.0,4.8,0.7,0.0,4.8,1016.0,1014.9,1016.8,1013.5,1012.4,1014.3,50.3,11.1,100.0
19,2021-05-22 06:00 -> 07:00,0.09999999999999432,2021-06-09,21.6,15.7,27.4,76.5,49.2,96.9,0.0,0.0,0.5,0.0,0.0,0.5,1015.3,1014.5,1016.1,1012.8,1012.1,1013.6,22.6,6.6,46.2
20,2021-05-22 07:00 -> 08:00,4.099999999999994,2021-06-10,22.5,15.3,29.2,65.2,36.9,89.5,0.0,0.0,0.0,0.0,0.0,0.0,1015.2,1014.3,1015.9,1012.7,1011.9,1013.4,17.5,0.6,36.9
21,2021-05-22 08:00 -> 09:00,8.099999999999994,2021-06-11,22.0,16.2,28.4,73.9,40.6,93.2,0.0,0.0,0.2,0.0,0.0,0.2,1015.2,1014.0,1016.3,1012.8,1011.6,1013.8,18.7,0.9,39.9
22,2021-05-22 09:00 -> 10:00,12.0,2021-06-12,22.6,16.7,28.9,67.6,35.4,93.3,0.0,0.0,0.0,0.0,0.0,0.0,1017.1,1016.2,1018.0,1014.7,1013.8,1015.5,10.5,0.0,29.1
23,2021-05-22 10:00 -> 11:00,15.0,2021-06-13,23.6,17.5,29.5,67.4,43.3,89.5,0.0,0.0,0.0,0.0,0.0,0.0,1017.7,1016.5,1018.9,1015.2,1014.1,1016.5,7.0,0.0,26.1
24,2021-05-22 11:00 -> 12:00,16.889999999999986,2021-06-14,23.6,18.9,28.8,75.2,55.2,93.0,0.0,0.0,0.3,0.0,0.0,0.3,1016.3,1014.4,1017.7,1013.9,1012.0,1015.2,12.0,0.0,45.6
25,2021-05-22 12:00 -> 13:00,17.889999999999986,2021-06-15,22.6,17.7,27.0,73.4,49.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.3,1016.0,1018.4,1014.9,1013.5,1016.0,5.4,0.0,38.7
26,2021-05-22 13:00 -> 14:00,17.99999999999997,2021-06-16,22.5,17.5,28.1,77.2,57.3,95.4,0.0,0.0,0.0,0.0,0.0,0.0,1016.5,1015.8,1017.3,1014.0,1013.3,1014.8,27.9,0.0,88.5
27,2021-05-22 14:00 -> 15:00,17.0,2021-06-17,23.5,18.2,29.9,73.4,44.5,98.1,0.0,0.0,0.2,0.0,0.0,0.2,1017.5,1016.4,1018.5,1015.0,1013.9,1016.0,15.9,0.0,33.9
28,2021-05-22 15:00 -> 16:00,15.890000000000043,2021-06-18,23.4,18.1,28.6,68.9,43.7,93.1,0.0,0.0,0.0,0.0,0.0,0.0,1018.3,1017.8,1018.9,1015.8,1015.3,1016.5,15.4,0.0,54.6
29,2021-05-22 16:00 -> 17:00,9.0,2021-06-19,23.9,17.6,30.4,61.1,30.3,89.4,0.0,0.0,0.0,0.0,0.0,0.0,1017.3,1015.7,1018.6,1014.8,1013.3,1016.1,19.5,0.0,30.9
30,2021-05-22 17:00 -> 18:00,6.899999999999977,2021-06-20,24.9,18.6,30.7,61.4,39.3,87.4,0.0,0.0,0.0,0.0,0.0,0.0,1013.9,1011.0,1016.1,1011.5,1008.5,1013.6,26.8,0.0,57.9
31,2021-05-22 18:00 -> 19:00,4.0,2021-06-21,26.6,20.9,33.4,59.3,40.6,83.5,0.0,0.0,0.0,0.0,0.0,0.0,1011.3,1010.6,1012.1,1008.9,1008.2,1009.7,8.8,0.0,31.2
32,2021-05-22 19:00 -> 20:00,2.0,2021-06-22,26.6,21.0,33.3,65.6,42.5,87.2,0.0,0.0,0.0,0.0,0.0,0.0,1011.6,1010.7,1013.2,1009.2,1008.2,1010.7,0.0,0.0,0.0
33,2021-05-22 20:00 -> 21:00,0.0,2021-06-23,26.6,21.6,34.2,67.3,38.2,90.6,0.0,0.0,0.0,0.0,0.0,0.0,1014.2,1012.7,1016.7,1011.8,1010.2,1014.2,17.6,0.0,51.6
34,2021-05-22 21:00 -> 22:00,0.0,2021-06-24,25.6,21.1,31.4,74.0,48.7,95.8,0.0,0.0,0.1,0.0,0.0,0.1,1017.3,1015.4,1018.7,1014.8,1012.9,1016.2,23.7,0.6,32.7
35,2021-05-22 22:00 -> 23:00,0.0,2021-06-25,25.3,20.4,31.1,68.0,32.9,99.1,0.0,0.0,0.0,0.0,0.0,0.0,1016.2,1015.0,1017.6,1013.8,1012.6,1015.1,15.3,0.0,37.8
36,2021-05-22 23:00 -> 00:00,0.0,2021-06-26,24.9,17.6,32.4,60.5,25.8,97.5,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,1013.5,1016.5,1012.5,1011.1,1014.0,3.7,0.0,26.1
37,2021-05-23 00:00 -> 01:00,0.0,2021-06-27,26.8,18.8,32.9,48.6,20.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.3,1013.2,1015.0,1011.9,1010.8,1012.5,3.9,0.0,27.0
38,2021-05-23 01:00 -> 02:00,0.0,2021-06-28,27.6,20.5,35.5,52.1,23.7,96.1,0.0,0.0,0.0,0.0,0.0,0.0,1013.8,1012.7,1014.9,1011.4,1010.3,1012.5,0.5,0.0,5.4
39,2021-05-23 02:00 -> 03:00,0.0,2021-06-29,26.5,20.9,32.4,72.7,39.7,99.7,0.0,0.0,0.0,0.0,0.0,0.0,1013.5,1011.7,1015.1,1011.1,1009.3,1012.7,17.3,0.0,59.1
40,2021-05-23 03:00 -> 04:00,0.0,2021-06-30,25.4,20.0,31.5,68.3,38.0,98.8,0.0,0.0,0.0,0.0,0.0,0.0,1013.3,1012.6,1014.0,1010.9,1010.2,1011.5,6.3,0.0,36.0
41,2021-05-23 04:00 -> 05:00,0.0,2021-07-01,25.1,19.7,31.2,66.1,34.0,99.1,0.0,0.0,0.0,0.0,0.0,0.0,1013.7,1012.9,1014.5,1011.3,1010.5,1012.0,12.4,0.0,84.6
42,2021-05-23 05:00 -> 06:00,0.0,2021-07-02,25.4,18.7,32.3,59.2,30.1,98.5,0.0,0.0,0.0,0.0,0.0,0.0,1013.9,1013.2,1014.8,1011.5,1010.8,1012.3,8.1,0.0,43.8
43,2021-05-23 06:00 -> 07:00,1.0,2021-07-03,25.9,19.3,33.5,57.2,27.3,84.7,0.0,0.0,0.0,0.0,0.0,0.0,1014.7,1013.6,1015.7,1012.3,1011.2,1013.3,16.6,0.6,28.5
44,2021-05-23 07:00 -> 08:00,2.1000000000000227,2021-07-04,26.0,20.4,31.4,67.3,40.3,95.3,0.0,0.0,0.3,0.0,0.0,0.3,1011.7,1009.5,1014.2,1009.2,1007.1,1011.7,26.4,3.0,56.7
45,2021-05-23 08:00 -> 09:00,7.0,2021-07-05,26.3,20.8,32.0,65.8,35.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.2,1010.2,1012.6,1008.8,1007.7,1010.2,17.7,0.0,100.0
46,2021-05-23 09:00 -> 10:00,10.0,2021-07-06,27.6,22.1,34.4,54.5,32.3,77.2,0.0,0.0,0.0,0.0,0.0,0.0,1013.1,1012.4,1013.7,1010.7,1010.0,1011.3,0.0,0.0,0.0
47,2021-05-23 10:00 -> 11:00,14.890000000000043,2021-07-07,27.4,20.5,34.2,58.7,29.9,87.2,0.0,0.0,0.0,0.0,0.0,0.0,1014.7,1013.8,1016.3,1012.2,1011.3,1013.8,3.4,0.0,29.7
48,2021-05-23 11:00 -> 12:00,8.100000000000023,2021-07-08,27.1,21.3,38.0,65.6,23.9,91.2,0.0,0.0,0.0,0.0,0.0,0.0,1016.9,1015.2,1018.2,1014.5,1012.9,1015.8,28.2,5.4,60.9
49,2021-05-23 12:00 -> 13:00,11.109999999999957,2021-07-09,27.0,22.4,33.5,65.4,31.5,99.1,0.0,0.0,0.0,0.0,0.0,0.0,1016.4,1015.1,1017.7,1014.0,1012.7,1015.3,19.6,0.0,100.0
50,2021-05-23 13:00 -> 14:00,16.0,2021-07-10,26.4,20.1,32.4,56.2,36.6,93.4,0.0,0.0,0.0,0.0,0.0,0.0,1014.1,1012.3,1015.6,1011.6,1009.9,1013.1,1.4,0.0,30.6
51,2021-05-23 14:00 -> 15:00,13.0,2021-07-11,26.1,20.1,33.1,54.8,26.7,95.5,0.0,0.0,0.0,0.0,0.0,0.0,1013.3,1012.9,1014.5,1010.9,1010.4,1012.0,1.5,0.0,17.1
52,2021-05-23 15:00 -> 16:00,13.0,2021-07-12,26.3,19.3,33.5,63.0,32.4,98.8,0.0,0.0,0.0,0.0,0.0,0.0,1013.5,1011.5,1015.1,1011.1,1009.1,1012.6,1.1,0.0,8.4
53,2021-05-23 16:00 -> 17:00,5.0,2021-07-13,26.8,21.8,31.6,56.1,30.9,77.1,0.0,0.0,0.6,0.0,0.0,0.6,1009.8,1008.5,1011.4,1007.4,1006.1,1008.9,41.4,0.0,100.0
54,2021-05-23 17:00 -> 18:00,2.1000000000000227,2021-07-14,23.7,19.5,27.6,60.5,42.7,80.6,0.0,0.0,0.0,0.0,0.0,0.0,1013.7,1012.0,1015.3,1011.2,1009.5,1012.8,21.3,2.4,60.0
55,2021-05-23 18:00 -> 19:00,3.0,2021-07-15,23.0,18.1,28.4,67.8,40.4,94.5,0.0,0.0,0.1,0.0,0.0,0.1,1014.7,1014.0,1015.5,1012.2,1011.5,1013.0,40.9,0.9,90.0
