ID,Date,Kilowatt
0,2021-01-01 00:00:00 -> 2021-01-01 23:55:00,104.78
1,2021-01-02 00:00:00 -> 2021-01-02 23:55:00,104.78
2,2021-01-03 00:00:00 -> 2021-01-03 23:55:00,106.00
3,2021-01-04 00:00:00 -> 2021-01-04 23:55:00,104.79
4,2021-01-05 00:00:00 -> 2021-01-05 23:55:00,106.00
5,2021-01-06 00:00:00 -> 2021-01-06 23:55:00,104.00
6,2021-01-07 00:00:00 -> 2021-01-07 23:55:00,105.00
7,2021-01-08 00:00:00 -> 2021-01-08 23:55:00,104.80
8,2021-01-09 00:00:00 -> 2021-01-09 23:55:00,104.80
9,2021-01-10 00:00:00 -> 2021-01-10 23:55:00,104.80
10,2021-01-11 00:00:00 -> 2021-01-11 23:55:00,104.80
11,2021-01-12 00:00:00 -> 2021-01-12 23:55:00,103.80
12,2021-01-13 00:00:00 -> 2021-01-13 23:55:00,103.80
13,2021-01-14 00:00:00 -> 2021-01-14 23:55:00,104.00
14,2021-01-15 00:00:00 -> 2021-01-15 23:55:00,104.00
15,2021-01-16 00:00:00 -> 2021-01-16 23:55:00,104.80
16,2021-01-17 00:00:00 -> 2021-01-17 23:55:00,104.00
17,2021-01-18 00:00:00 -> 2021-01-18 23:55:00,102.20
18,2021-01-19 00:00:00 -> 2021-01-19 23:55:00,103.00
19,2021-01-20 00:00:00 -> 2021-01-20 23:55:00,103.80
20,2021-01-21 00:00:00 -> 2021-01-21 23:55:00,104.00
21,2021-01-22 00:00:00 -> 2021-01-22 23:55:00,103.00
22,2021-01-23 00:00:00 -> 2021-01-23 23:55:00,103.00
23,2021-01-24 00:00:00 -> 2021-01-24 23:55:00,104.00
24,2021-01-25 00:00:00 -> 2021-01-25 23:55:00,105.00
25,2021-01-26 00:00:00 -> 2021-01-26 23:55:00,105.00
26,2021-01-27 00:00:00 -> 2021-01-27 23:55:00,104.82
27,2021-01-28 00:00:00 -> 2021-01-28 23:55:00,104.00
28,2021-01-29 00:00:00 -> 2021-01-29 23:55:00,103.00
29,2021-01-30 00:00:00 -> 2021-01-30 23:55:00,103.18
30,2021-01-31 00:00:00 -> 2021-01-31 23:55:00,102.18
31,2021-02-01 00:00:00 -> 2021-02-01 23:55:00,110.00
32,2021-02-02 00:00:00 -> 2021-02-02 23:55:00,120.00
