ID,Date,Kilowatt
0,2021-05-21 11:05:00 -> 2021-05-31 23:55:00,1599.62
1,2021-06-01 00:00:00 -> 2021-06-30 23:55:00,4097.00
2,2021-07-01 00:00:00 -> 2021-07-31 23:55:00,3923.00
3,2021-08-01 00:00:00 -> 2021-08-31 23:55:00,3663.00
4,2021-09-01 00:00:00 -> 2021-09-30 23:55:00,2721.00
5,2021-10-01 00:00:00 -> 2021-10-31 23:55:00,2031.00
6,2021-11-01 00:00:00 -> 2021-11-30 23:55:00,1056.00
7,2021-12-01 00:00:00 -> 2021-12-31 23:55:00,834.00
8,2022-01-01 00:00:00 -> 2022-01-31 23:55:00,1316.00
9,2022-02-01 00:00:00 -> 2022-02-28 23:55:00,1743.00
10,2022-03-01 00:00:00 -> 2022-03-31 23:55:00,2723.00
11,2022-04-01 00:00:00 -> 2022-04-30 23:55:00,3182.00
12,2022-05-01 00:00:00 -> 2022-05-31 23:55:00,3577.00
13,2022-06-01 00:00:00 -> 2022-06-30 23:55:00,3574.00
14,2022-07-01 00:00:00 -> 2022-07-31 23:55:00,4209.00
15,2022-08-01 00:00:00 -> 2022-08-31 23:55:00,3559.00
16,2022-09-01 00:00:00 -> 2022-09-30 23:55:00,2616.00
17,2022-10-01 00:00:00 -> 2022-10-31 23:55:00,2220.00
18,2022-11-01 00:00:00 -> 2022-11-30 23:55:00,1249.00
19,2022-12-01 00:00:00 -> 2022-12-31 23:55:00,799.00
20,2023-01-01 00:00:00 -> 2023-01-31 23:55:00,1054.00
21,2023-02-01 00:00:00 -> 2023-02-28 23:55:00,1533.00
22,2023-03-01 00:00:00 -> 2023-03-31 23:55:00,2450.00
23,2023-04-01 00:00:00 -> 2023-04-30 23:55:00,3154.00
24,2023-05-01 00:00:00 -> 2023-05-31 23:55:00,3134.00
25,2023-06-01 00:00:00 -> 2023-06-30 23:55:00,3959.00
26,2023-07-01 00:00:00 -> 2023-07-31 23:55:00,3739.00
27,2023-08-01 00:00:00 -> 2023-08-31 23:55:00,3555.00
28,2023-09-01 00:00:00 -> 2023-09-30 23:55:00,2731.00
29,2023-10-01 00:00:00 -> 2023-10-31 23:55:00,1779.00
